Айсинг	2.3	0.0	78.8	305
Бисквитник Сдобная особа медовый с вареной сгущенкой	Бисквитник Сдобная особа медовый с вареной сгущенкой	5.3	19.6	46.1	378
Бисквитник Сдобная особа с начинкой маракуйя	Бисквитник Сдобная особа с начинкой маракуйя	3.9	17.2	51.5	375
Бисквитник Сдобная особа шоколадный с шоколадной начинкой	Бисквитник Сдобная особа шоколадный с шоколадной начинкой	4.3	18.3	48.5	378
Варенье из абрикосов	Варенье из абрикосов	0.0	0.0	62.0	236
Варенье из айвы	Варенье из айвы	0.4	0.2	70.6	273
Варенье из апельсинов	Варенье из апельсинов	2.6	0.5	70.0	245
Варенье из брусники	Варенье из брусники	0.2	0.1	64.6	244
Варенье из вишни	Варенье из вишни	0.0	0.0	64.0	256
Варенье из груши	Варенье из груши	0.3	0.2	70.8	273
Варенье из дыни	Варенье из дыни	0.3	0.1	44.7	197
Варенье из земляники	Варенье из земляники	0.3	0.1	58.0	219
Варенье из инжира	Варенье из инжира	0.0	0.0	62.0	236
Варенье из кабачков	Варенье из кабачков	0.3	0.1	48.9	196
Варенье из клубники	Варенье из клубники	0.3	0.1	74.0	285
Варенье из лимонов	Варенье из лимонов	0.0	0.0	60.0	240
Варенье из малины	Варенье из малины	0.6	0.2	70.4	273
Варенье из мандаринов	Варенье из мандаринов	0.7	0.2	75.9	294
Варенье из облепихи	Варенье из облепихи	0.7	3.7	34.4	165
Варенье из одуванчиков	Варенье из одуванчиков	0.6	0.1	48.0	191
Варенье из персиков	Варенье из персиков	0.5	0.0	66.8	258
Варенье из ревеня	Варенье из ревеня	0.5	0.5	82.4	314
Варенье из сливы	Варенье из сливы	0.4	0.3	74.2	288
Варенье из тёрна	Варенье из тёрна	0.0	0.0	62.0	248
Варенье из черники	Варенье из черники	0.4	0.2	56.1	214
Варенье из чёрной смородины	Варенье из чёрной смородины	0.6	0.1	72.9	284
Варенье из черноплодной рябины	Варенье из черноплодной рябины	0.4	0.0	74.8	387
Варенье из яблок	Варенье из яблок	0.4	0.3	68.2	265
Вафли венские с карамелью	Вафли венские с карамелью	8.1	19.4	53.3	424
Вафли венские со взбитыми сливками	Вафли венские со взбитыми сливками	4.8	23.3	50.5	489
Вафли Леди Джем со вкусом вишни	Вафли Леди Джем со вкусом вишни	3.0	1.0	82.0	330
Вафли с жирной начинкой	Вафли с жирной начинкой	3.4	30.2	64.7	539
Вафли с фруктовой начинкой	Вафли с фруктовой начинкой	3.2	2.8	80.9	350
Вафли Сдобная особа домашние с изюмом	Вафли Сдобная особа домашние с изюмом	7.9	21.7	55.8	452
Вафли Сдобная особа домашние сахарные	Вафли Сдобная особа домашние сахарные	8.2	23.1	54.4	459
Вафли Сдобная особа мягкие с суфле классические	Вафли Сдобная особа мягкие с суфле классические	5.5	23.9	52.2	446
Вафли Сдобная особа мягкие с суфле со вкусом пломбира	Вафли Сдобная особа мягкие с суфле со вкусом пломбира	5.5	23.9	52.2	446
Вафли Яшкино с карамельной начинкой	Вафли Яшкино с карамельной начинкой	6.0	15.2	67.9	430
Галеты Nordic из овса с брусникой	Галеты Nordic из овса с брусникой	9.0	14.0	61.0	420
Галеты Любятово классические	Галеты Любятово классические	11.1	1.2	76.0	365
Ганаш	Ганаш	4.9	34.5	52.5	542
Ганаш белый	Ганаш белый	3.9	37.2	48.9	547
Ганаш шоколадный	Ганаш шоколадный	4.9	34.5	52.5	542
Гематоген	Гематоген	6.0	3.0	75.7	354
Гематоген Русский детский	Гематоген Русский детский	3.5	2.9	75.6	343
ГематогенКА	ГематогенКА	4.9	11.5	81.0	425
Десерт Alpro Soya ванильный	Десерт Alpro Soya ванильный	3.0	1.8	12.7	80
Десерт Konti Bonjour ванильный	Десерт Konti Bonjour ванильный	4.0	20.1	63.6	443
Джезерье из граната	Джезерье из граната	2.0	2.9	87.0	381
Джем Zero низкокалорийный Абрикос	Джем Zero низкокалорийный Абрикос	0.6	0.1	9.9	43
Джем Zero низкокалорийный Ежевика	Джем Zero низкокалорийный Ежевика	1.0	0.0	4.8	25
Джем Zero низкокалорийный Клубника	Джем Zero низкокалорийный Клубника	0.2	0.2	5.2	24
Джем апельсиновый	Джем апельсиновый	0.8	0.4	63.0	268
Джем апельсиновый Мила варила	0.0	0.0	60.0	240
Джем банановый	Джем банановый	0.1	0.0	59.2	215
Джем брусничный	Джем брусничный	0.8	0.7	59.0	250
Джем вишневый	Джем вишневый	0.0	0.0	56.5	226
Джем голубичный	Джем голубичный	0.7	0.2	58.8	241
Джем клубничный	Джем клубничный	0.0	0.0	65.0	272
Джем малиновый	Джем малиновый	0.7	0.4	23.9	106
Джем мандариновый	Джем мандариновый	0.3	0.0	70.8	276
Джем персиковый	Джем персиковый	0.5	0.0	66.8	258
Джем сливовый	Джем сливовый	0.4	0.3	73.2	288
Джем черничный	Джем черничный	0.4	0.2	53.1	214
Джем яблочный	Джем яблочный	0.0	0.0	24.0	245
Драже Maltesers	Драже Maltesers	8.1	24.3	61.7	500
Драже Milka Clusters Bitz	Драже Milka Clusters Bitz	5.4	22.0	62.1	470
Драже Milka Lila Stars Bitz	Драже Milka Lila Stars Bitz	7.7	35.5	50.0	555
Драже арахис с мёдом и кунжутом	Драже арахис с мёдом и кунжутом	16.8	36.4	33.4	528
Драже Воздушный Криспелло	Драже Воздушный Криспелло	5.4	27.1	62.7	520
Драже Грильяж в шоколаде	Драже Грильяж в шоколаде	5.7	16.7	70.1	445
Драже жевательные Mentos	Драже жевательные Mentos	0.0	2.0	93.0	390
Драже Изюм в шоколаде	Драже Изюм в шоколаде	3.6	8.9	73.2	379
Драже ореховое	Драже ореховое	11.9	38.3	44.2	552
Драже Тик Так	Драже Тик Так	0.2	0.6	96.7	397
Драже фруктовое в шоколаде	Драже фруктовое в шоколаде	3.7	10.2	76.3	389
Желе апельсиновое	Желе апельсиновое	2.8	0.0	20.3	88
Желе вишневое	Желе вишневое	2.8	0.0	14.0	56
Желе для торта	Желе для торта	2.8	0.0	20.3	88
Желе из киви	Желе из киви	2.5	0.0	15.6	69
Желе клубничное	Желе клубничное	2.5	0.0	15.6	69
Желе лимонное	Желе лимонное	2.8	0.0	20.3	88
Желе молочное	Желе молочное	2.7	1.2	2.4	32
Желе яблочное	Желе яблочное	2.5	0.0	15.6	69
Зефир	Зефир	0.8	0.0	78.5	304
Зефир Красная цена ванильный	Зефир Красная цена ванильный	0.1	0.0	77.6	311
Зефир Сладкие истории с ванильным вкусом	Зефир Сладкие истории с ванильным вкусом	0.7	0.1	80.5	311
Зефир Сладкие истории с клубникой	Зефир Сладкие истории с клубникой	1.0	0.1	80.0	310
Зефир Сладкие истории с черной смородиной в шоколадной глазури	Зефир Сладкие истории с черной смородиной в шоколадной глазури	2.1	10.2	69.6	364
Изделие слоеное Черёмушки с вишневой начинкой	Изделие слоеное Черёмушки с вишневой начинкой	5.6	16.8	35.3	317
Ирис Meller Белый шоколад	Ирис Meller Белый шоколад	3.3	9.4	80.6	421
Ирис Meller Капучино	Ирис Meller Капучино	3.0	8.6	80.3	414
Ирис Meller Пралине	Ирис Meller Пралине	3.0	8.6	80.3	414
Ирис Meller Тёмный шоколад	Ирис Meller Тёмный шоколад	3.0	6.6	79.2	396
Ирис Meller Шоколад	Ирис Meller Шоколад	3.0	8.6	79.2	410
Итальянский пай Сдобная особа с вишней	Итальянский пай Сдобная особа с вишней	5.0	12.8	61.2	382
Итальянский пай Сдобная особа с лимоном	Итальянский пай Сдобная особа с лимоном	5.0	12.8	60.5	380
Итальянский пай Сдобная особа с черникой	Итальянский пай Сдобная особа с черникой	5.0	12.8	60.5	378
Карамель леденцовая	Карамель леденцовая	0.0	0.1	96.2	362
Карамель леденцовая Halls оригинальная	Карамель леденцовая Halls оригинальная	0.1	0.0	97.0	395
