Айсинг	2.3	0.0	78.8	305
Пряник Тульский купеческий	Пряник Тульский купеческий	7.3	8.6	68.2	380
Пряник Тульский с цукатами	Пряник Тульский с цукатами	5.5	6.8	71.4	363
Пряник Тульский шоколадный	Пряник Тульский шоколадный	9.1	7.8	67.2	381
Пряники Имбирные	Пряники Имбирные	5.9	6.5	70.5	353
Рахат-лукум	Рахат-лукум	0.8	0.7	79.4	316
Рахат-лукум Пеко Калейдоскоп	Рахат-лукум Пеко Калейдоскоп	0.0	0.0	81.8	314
Рахат-лукум Пеко Мозаика	0.0	0.0	82.0	314
Рахат-лукум Пеко Цитрусовый	Рахат-лукум Пеко Цитрусовый	0.0	0.0	81.8	314
Рахат-лукум с фисташками	Рахат-лукум с фисташками	0.9	1.0	83.0	327
Рулет Лимон	Рулет Лимон	6.3	14.0	39.4	311
Рулет Майский Черёмушки с маком и изюмом	Рулет Майский Черёмушки с маком и изюмом	7.3	9.3	55.0	333
Рулет Сдобная особа с курагой	Рулет Сдобная особа с курагой	5.6	13.1	51.9	346
Рулет Сдобная особа с лимоном	Рулет Сдобная особа с лимоном	4.9	10.9	55.4	335
Рулет Сдобная особа с маковой начинкой	Рулет Сдобная особа с маковой начинкой	6.8	14.2	46.7	340
Рулет Сдобная особа с черносливом и орехом	Рулет Сдобная особа с черносливом и орехом	5.6	15.9	52.0	371
Рулет Сдобная особа с шоколадной начинкой	Рулет Сдобная особа с шоколадной начинкой	5.4	17.5	50.4	377
Рулет Черника	Рулет Черника	7.0	10.4	41.6	288
Рулетик Черёмушки с вишней	Рулетик Черёмушки с вишней	5.5	6.3	53.5	292
Рулетик Черёмушки с курагой	Рулетик Черёмушки с курагой	8.6	9.8	53.9	339
Рулетик Черёмушки с яблоком	Рулетик Черёмушки с яблоком	7.0	6.3	57.9	318
Слойка Коса Русская	Слойка Коса Русская	7.4	12.3	50.7	344
Слойка Круассан с варёной сгущёнкой	Слойка Круассан с варёной сгущёнкой	2.3	20.4	53.2	335
Слойка Ракушка	Слойка Ракушка	5.6	13.0	51.0	343
Слойка Ракушка с шоколадом	Слойка Ракушка с шоколадом	5.3	14.1	51.7	356
Слойка с сыром	Слойка с сыром	12.3	16.5	43.7	376
Слойка Свердловская Черёмушки	Слойка Свердловская Черёмушки	7.3	13.3	51.1	353
Слойка Улитка	Слойка Улитка	6.5	15.2	48.0	354
Слойка Улыбка	Слойка Улыбка	16.3	10.1	53.6	376
Сочник	Сочник	10.1	8.8	40.5	274
Суфле Бон Пари	Суфле Бон Пари	4.2	0.0	76.6	323
Сухари диабетические	Сухари диабетические	10.5	5.7	73.1	388
Сухари к чаю	Сухари к чаю	10.0	2.3	73.8	397
Сухари с изюмом	Сухари с изюмом	8.4	4.9	78.5	395
Сухари с сахаром	Сухари с сахаром	9.5	4.2	72.1	368
Сухари с цукатами	Сухари с цукатами	9.7	3.5	80.3	384
Сухари сливочные	Сухари сливочные	9.7	9.1	72.9	414
Тесто для пельменей	Тесто для пельменей	7.9	1.4	50.6	234
Тесто для пиццы Kulinarium Meister	Тесто для пиццы Kulinarium Meister	6.9	8.4	47.0	289
Тесто дрожжевое постное	Тесто дрожжевое постное	5.8	6.4	49.3	274
Тесто дрожжевое сдобное	Тесто дрожжевое сдобное	10.0	13.0	50.0	357
Тесто кадаиф	Тесто кадаиф	7.9	1.4	50.6	234
Тесто песочное	Тесто песочное	6.5	21.6	49.9	403
Тесто пресное	Тесто пресное	9.0	3.0	40.6	225
Тесто пряничное	Тесто пряничное	4.8	2.8	77.7	336
Тесто рубленое	Тесто рубленое	6.0	17.2	40.2	304
Тесто слоеное бездрожжевое 365 дней	Тесто слоеное бездрожжевое 365 дней	5.5	18.0	38.0	340
Тесто слоеное бездрожжевое Затейница	Тесто слоеное бездрожжевое Затейница	6.5	11.0	44.0	300
Тесто слоеное бездрожжевое Уральский пекарь	Тесто слоеное бездрожжевое Уральский пекарь	6.9	31.8	43.2	487
Тесто слоеное бездрожжевое Черемушки	Тесто слоеное бездрожжевое Черемушки	6.1	26.2	37.1	410
Тесто слоеное дрожжевое 365 дней	Тесто слоеное дрожжевое 365 дней	6.0	18.0	40.0	350
Тесто слоеное дрожжевое Талосто	Тесто слоеное дрожжевое Талосто	6.1	21.3	36.3	362
Тесто слоеное дрожжевое Черемушки	Тесто слоеное дрожжевое Черемушки	6.2	21.5	39.8	378
Тесто фило	Тесто фило	7.0	20.0	48.0	441
Тесто фило ВкусВилл	Тесто фило ВкусВилл	12.3	1.2	59.3	297
Улитка Черёмушки с кремом и изюмом	Улитка Черёмушки с кремом и изюмом	5.2	14.8	45.1	339
Улитка Черёмушки со вкусом апельсина и шоколада	Улитка Черёмушки со вкусом апельсина и шоколада	5.6	16.8	35.3	317
Урбеч из бразильского ореха	Урбеч из бразильского ореха	18.0	69.0	12.0	682
Урбеч из какао-бобов Мералад	Урбеч из какао-бобов Мералад	12.8	53.0	9.5	565
Урбеч из кешью	Урбеч из кешью	25.5	53.6	22.0	595
Урбеч из кунжута	Урбеч из кунжута	19.4	48.7	12.2	575
Урбеч из миндаля	Урбеч из миндаля	18.1	53.7	13.0	609
Урбеч из мякоти кокоса	Урбеч из мякоти кокоса Мералад	13.0	65.0	14.0	660
Урбеч из мякоти кокоса Наш урбеч	Урбеч из мякоти кокоса Наш урбеч	13.0	64.2	13.6	682
Урбеч из семян конопли Живой продукт	Урбеч из семян конопли Живой продукт	30.6	30.9	10.9	567
Урбеч из семян льна	Урбеч из семян льна	25.5	50.0	22.6	610
Урбеч из семян мака	Урбеч из семян мака	17.5	47.5	14.5	520
Фрукты в шоколаде	Фрукты в шоколаде	0.8	15.6	11.0	179
Халва подсолнечная	Халва подсолнечная	11.6	29.7	54.0	523
Халва Рот Фронт в шоколаде	Халва Рот Фронт в шоколаде	14.3	33.8	44.3	534
Халва тахинная	Халва тахинная	12.7	29.9	50.6	516
Чак-чак	Чак-чак	8.6	1.9	77.9	363
Чурчхела	Чурчхела	5.0	15.0	63.0	410
Штрудель Черёмушки с творогом	Штрудель Черёмушки с творогом	10.6	21.7	39.2	395
Штрудель Черёмушки с яблоком	Штрудель Черёмушки с яблоком	4.3	14.7	39.1	306
Щербет с арахисом	Щербет с арахисом	5.0	11.0	77.0	430
Яблочная смоква (фруктовая пастила) ЭКО Пастила	Яблочная смоква (фруктовая пастила) ЭКО Пастила	0.2	0.0	47.2	189
Язычки слоеные	Язычки слоеные	5.4	21.6	37.5	368
