Колбаса сырокопченая Дымов Пепперони	Колбаса сырокопченая Дымов Пепперони	15.0	45.0	0.0	465
Колбаса сырокопченая зернистая	Колбаса сырокопченая зернистая	9.9	62.8	0.3	606
Колбаса сырокопченая Клинский свиная	Колбаса сырокопченая Клинский свиная	11.0	57.3	0.0	568
Колбаса сырокопченая любительская	Колбаса сырокопченая любительская	20.9	47.8	0.0	514
Колбаса сырокопченая московская	Колбаса сырокопченая московская	24.8	41.5	0.0	473
Колбаса сырокопченая Палермо Егорьевская ФКГ	Колбаса сырокопченая Палермо Егорьевская ФКГ	16.0	42.0	0.0	446
Колбаса сырокопченая полусухая Велком Чикен салями №2	Колбаса сырокопченая полусухая Велком Чикен салями №2	21.0	30.0	0.0	350
Колбаса сырокопченая полусухая Дымов коньячная	Колбаса сырокопченая полусухая Дымов коньячная	18.0	44.0	0.0	468
Колбаса сырокопченая Раменский деликатес Европейская	Колбаса сырокопченая Раменский деликатес Европейская	11.0	49.0	0.0	485
Колбаса сырокопченая Раменский деликатес Куриная деликатесная	Колбаса сырокопченая Раменский деликатес Куриная деликатесная	16.0	44.0	2.0	470
Колбаса сырокопченая Раменский деликатес Салями Парма	Колбаса сырокопченая Раменский деликатес Салями Парма	20.0	42.0	0.0	460
Колбаса сырокопченая Раменский деликатес Сицилийская	Колбаса сырокопченая Раменский деликатес Сицилийская	15.0	48.0	0.0	490
Колбаса сырокопченая Салями Итальянская	Колбаса сырокопченая Салями Итальянская	11.0	63.0	0.0	631
Колбаса сырокопченая свиная	Колбаса сырокопченая свиная	13.0	57.3	0.2	568
Колбаса сырокопченая сервелат	Колбаса сырокопченая сервелат	24.0	40.5	0.0	461
Колбаса сырокопченая сервелат Дымов	Колбаса сырокопченая сервелат Дымов	15.0	53.0	0.0	537
Колбаса сырокопченая столичная	Колбаса сырокопченая столичная	24.0	43.4	0.0	487
Колбаса сырокопченая сухая Велком Миланская	20.0	34.0	0.0	390
Колбаса сырокопченая Черкизово Сальчичон	Колбаса сырокопченая Черкизово Сальчичон	17.0	34.0	1.0	366
Колбаса сырокопченая Черкизово Салями Астория	Колбаса сырокопченая Черкизово Салями Астория	25.0	30.0	5.0	390
Колбаса сырокопченая Эколь Халяль Говяжья нарезка	Колбаса сырокопченая Эколь Халяль Говяжья нарезка	31.0	11.0	0.0	228
Колбаски Балканские Vego постные	Колбаски Балканские Vego постные	18.0	14.0	3.1	213
Колбаски Ближние Горки Шашлычные из свинины	Колбаски Ближние Горки Шашлычные из свинины	12.0	38.0	0.0	282
Колбаски домашние Ганна из мяса птицы	Колбаски домашние Ганна из мяса птицы	16.0	23.0	2.7	279
Колбаски Мираторг Black Angus классические	Колбаски Мираторг Black Angus классические	12.0	35.0	0.0	360
Колбаски Мираторг Чевапчичи Black Angus	Колбаски Мираторг Чевапчичи Black Angus	12.0	35.0	0.0	360
Колбаски Мираторг Чевапчичи из свинины по-домашнему	Колбаски Мираторг Чевапчичи из свинины по-домашнему	10.0	32.0	0.0	330
Колбаски Петруха Мастер из мяса цыплят-бройлеров оригинальные	Колбаски Петруха Мастер из мяса цыплят-бройлеров оригинальные	16.0	18.0	0.0	230
Колбаски полукопченые Дымов охотничьи	Колбаски полукопченые Дымов охотничьи	25.7	40.0	0.0	463
Колбаски полукопченые Окраина охотничьи	Колбаски полукопченые Окраина охотничьи	14.0	46.0	0.0	470
Колбаски полукопченые охотничьи	Колбаски полукопченые охотничьи	27.4	24.3	0.0	326
Колбаски Рублёвский Имеретинские для жарки	Колбаски Рублёвский Имеретинские для жарки	12.0	17.0	0.3	220
Колбаски рубленые Троекурово с пряными травами	Колбаски рубленые Троекурово с пряными травами	15.0	10.0	0.0	150
Колбаски рубленые Черкизово из свинины для жарки	Колбаски рубленые Черкизово из свинины для жарки	15.0	33.0	2.0	365
Колбаски сырокопченые Дымов Пиколини Дижонская горчица	Колбаски сырокопченые Дымов Пиколини Дижонская горчица	18.0	50.0	0.0	520
Колбаски сырокопченые Дымов Пиколини Пармезан	Колбаски сырокопченые Дымов Пиколини Пармезан	18.0	50.0	0.0	520
Колбаски сырокопченые Дымов Пиколини Хамон	Колбаски сырокопченые Дымов Пиколини Хамон	18.0	50.0	0.0	520
Колбаски сырокопченые Ремит Kabanos Chicken	Колбаски сырокопченые Ремит Kabanos Chicken	25.0	35.0	3.0	430
Колбаски сырокопченые Ремит Kabanos Chili	Колбаски сырокопченые Ремит Kabanos Chili	25.0	35.0	2.5	440
Кровянка	Кровянка	9.0	19.5	14.5	274
Купаты Боярские Индилайт	Купаты Боярские Индилайт	11.0	34.0	0.0	350
Салями	Салями	21.6	53.7	1.4	568
Сардельки говяжьи	Сардельки говяжьи	11.4	18.2	1.5	215
Сардельки молочные из мяса птицы охлажденные	Сардельки молочные из мяса птицы охлажденные	11.0	19.0	2.6	226
Сардельки Пикантные Vego постные	Сардельки Пикантные Vego постные	16.0	17.0	7.0	255
Сардельки свиные	Сардельки свиные	10.1	31.6	1.9	332
Сосиски Баварские Стародворье	Сосиски Баварские Стародворье	11.0	17.0	0.0	197
Сосиски Боярские Усольский свинокомплекс	Сосиски Боярские Усольский свинокомплекс	6.0	27.0	3.0	280
Сосиски Вего Vego Чикен	Сосиски Вего Vego Чикен	19.0	12.0	3.5	194
Сосиски говяжьи	Сосиски говяжьи	10.4	20.1	0.8	226
Сосиски Детям Великолукский МК	Сосиски Детям Великолукский МК	12.0	22.0	0.0	250
