Аньолотти	10.0	1.1	71.5	344
Макароны конопляные ProfiHemp Здоровое питание	Макароны конопляные ProfiHemp Здоровое питание	13.4	10.8	66.5	325
Макароны молочные	Макароны молочные	11.5	2.9	67.1	345
Макароны первого сорта	Макароны первого сорта	10.7	1.3	68.4	335
Мафальдине	12.0	1.5	72.2	350
Мука амарантовая	Мука амарантовая	8.9	1.7	61.7	298
Мука арахисовая	Мука арахисовая	25.0	47.0	14.5	590
Мука блинная	Мука блинная	10.1	1.8	69.7	336
Мука гороховая	Мука гороховая	21.0	2.0	49.0	298
Мука гречневая блинная Myllyn Paras	Мука гречневая блинная Myllyn Paras	13.0	1.7	67.5	340
Мука гречневая Гарнец	Мука гречневая Гарнец	12.6	2.6	68.0	334
Мука гречневая диетическая	Мука гречневая диетическая	13.6	1.2	73.7	367
Мука гречневая Рязаночка	Мука гречневая Рязаночка	13.6	1.2	71.9	353
Мука гречневая С.Пудовъ	Мука гречневая С.Пудовъ	14.0	1.0	70.0	350
Мука для пиццы Myllyn Paras	Мука для пиццы Myllyn Paras	12.9	2.0	68.4	350
Мука из грецкого ореха	Мука из грецкого ореха	15.0	18.0	3.0	234
Мука из зародышей пшеницы	Мука из зародышей пшеницы	33.9	7.7	32.8	335
Мука из зеленой гречки	Мука из зеленой гречки	12.6	3.3	62.0	328
Мука из овсяных отрубей	Мука из овсяных отрубей	18.0	7.1	45.3	320
Мука из семян тыквы Масляный король	Мука из семян тыквы Масляный король	43.0	10.0	35.0	400
Мука из семян чёрного кунжута Житница здоровья	Мука из семян чёрного кунжута Житница здоровья	26.3	21.3	16.3	375
Мука из спельты	Мука из спельты	12.0	1.3	73.0	349
Мука из фундука	Мука из фундука	15.0	61.0	9.4	651
Мука кедровая	Мука кедровая	31.0	19.0	33.0	432
Мука кокосовая	Мука кокосовая	20.0	16.6	60.0	466
Мука кокосовая Coconut Secret	Мука кокосовая Coconut Secret	25.0	10.7	64.3	443
Мука кокосовая MANTeca	Мука кокосовая MANTeca	19.0	14.0	23.0	359
Мука кокосовая Nutiva безглютеновая	Мука кокосовая Nutiva безглютеновая	22.0	11.0	17.0	250
Мука кокосовая Орехпродукт	Мука кокосовая Орехпродукт	20.0	16.6	60.0	446
Мука конопляная	Мука конопляная	30.0	7.9	24.7	290
Мука кукурузная Гарнец	Мука кукурузная Гарнец	8.0	1.0	75.0	330
Мука кукурузная диетическая	Мука кукурузная диетическая	7.2	1.5	70.2	330
Мука кукурузная Кудесница	Мука кукурузная Кудесница	7.0	1.5	72.0	330
Мука кукурузная тонкого помола С.Пудовъ	Мука кукурузная тонкого помола С.Пудовъ	7.0	1.5	72.0	330
Мука кукурузная цельнозерновая ВкусВилл	Мука кукурузная цельнозерновая ВкусВилл	7.2	1.5	68.9	318
Мука кунжутная	Мука кунжутная	45.0	12.0	32.0	462
Мука льняная	Мука льняная	36.0	10.0	9.0	270
Мука льняная Гарнец	Мука льняная Гарнец	25.0	5.0	40.0	305
Мука льняная полуобезжиренная С.Пудовъ	Мука льняная полуобезжиренная С.Пудовъ	25.0	5.0	40.0	300
Мука манная Divella	Мука манная Divella	12.0	1.0	71.0	341
Мука миндальная	Мука миндальная	25.8	54.5	13.0	602
Мука нутовая	Мука нутовая	10.9	2.9	66.0	337
Мука нутовая Гарнец	Мука нутовая Гарнец	21.4	5.5	54.6	362
Мука нутовая Житница здоровья цельнозерновая	Мука нутовая Житница здоровья цельнозерновая	25.0	6.5	42.0	339
