Агар пищевой	4.0	    0.0	    76.0	301
Ромовая эссенция	Ромовая эссенция	0.0	0.0	0.4	42
Сахар Billington’s нерафинированный тростниковый Dark Muscovado	Сахар Billington’s нерафинированный тростниковый Dark Muscovado	0.0	0.0	95.3	383
Сахар ванильный	Сахар ванильный	0.0	0.0	98.5	394
Сахар ванильный Dr.Oetker с натуральной ванилью	Сахар ванильный Dr.Oetker с натуральной ванилью	0.2	0.4	98.0	396
Сахар виноградный жидкий	Сахар виноградный жидкий	0.0	0.0	65.0	260
Сахар кленовый	Сахар кленовый	0.1	0.2	90.9	354
Сахар кокосовый	Сахар кокосовый	1.1	0.4	93.4	382
Сахар Мистраль Демерара тростниковый	Сахар Мистраль Демерара тростниковый	0.0	0.0	98.5	394
Сахар Мистраль коричневый кристаллы	Сахар Мистраль коричневый кристаллы	0.0	0.0	98.5	394
Сахар тростниковый	Сахар тростниковый	0.0	0.0	99.4	398
Сахар-песок	Сахар-песок	0.0	0.0	99.7	398
Сахар-рафинад	Сахар-рафинад	0.0	0.0	99.9	400
Сахар-сырец	Сахар-сырец	0.0	0.0	95.3	362
Сахарная пудра	Сахарная пудра	0.0	0.0	99.8	374
Сахарозаменитель Coconut Secret кокосовый нектар	Сахарозаменитель Coconut Secret кокосовый нектар	0.0	0.0	86.6	366
Сахарозаменитель Fit Parad №1	Сахарозаменитель Fit Parad №1	0.0	0.0	0.2	1
Сахарозаменитель Fit Parad №10	Сахарозаменитель Fit Parad №10	0.0	0.0	0.5	2
Сахарозаменитель Fit Parad №11	Сахарозаменитель Fit Parad №11	0.0	0.0	94.5	203
Сахарозаменитель Fit Parad №7	Сахарозаменитель Fit Parad №7	0.0	0.0	0.0	
Сахарозаменитель Fit Parad №8	Сахарозаменитель Fit Parad №8	0.0	0.0	0.0	
Сахарозаменитель Geneticlab Fit Sweet	Сахарозаменитель Geneticlab Fit Sweet	0.0	0.0	0.0	
Сахарозаменитель Master Shape №1	Сахарозаменитель Master Shape №1	0.0	0.0	0.0	
Сахарозаменитель Milford	Сахарозаменитель Milford	0.0	0.0	0.2	20
Сахарозаменитель Milford сукралоза с инулином	Сахарозаменитель Milford сукралоза с инулином	0.1	0.2	57.0	268
Сахарозаменитель Sukrin Organic	Сахарозаменитель Sukrin Organic	0.0	0.0	100.0	
Сахарозаменитель натуральный Эритрит со стевией	Сахарозаменитель натуральный Эритрит со стевией	0.0	0.0	0.0	
Сахарозаменитель Эритрол	Сахарозаменитель Эритрол	0.1	0.2	4.0	20
Сироп Blue Curacao	Сироп Blue Curacao	0.0	0.0	79.0	320
Сироп Zero низкокалорийный Клубника	Сироп Zero низкокалорийный Клубника	0.2	0.0	4.7	20
Сироп Zero низкокалорийный Молочный шоколад	Сироп Zero низкокалорийный Молочный шоколад	2.7	1.4	5.4	45
Сироп Zero низкокалорийный Мята	Сироп Zero низкокалорийный Мята	0.1	0.0	4.0	16
Сироп агавы Sunny Via	Сироп агавы Sunny Via	0.0	0.5	76.0	310
Сироп банановый	Сироп банановый	0.0	0.0	75.0	307
Сироп вишневый	Сироп вишневый	0.3	0.1	64.0	256
Сироп Гренадин	Сироп Гренадин	0.0	0.0	66.9	268
Сироп из цикория Дары Памира без сахара	Сироп из цикория Дары Памира без сахара	0.0	0.0	9.5	167
Сироп кленовый	Сироп кленовый	0.0	0.1	67.4	260
Сироп клубничный	Сироп клубничный	0.2	0.0	39.5	154
Сироп лавандовый Barinoff	Сироп лавандовый Barinoff	0.0	0.0	64.0	256
Сироп мятный	Сироп мятный	0.5	0.1	55.0	222
Сироп овсяный White Sun	Сироп овсяный White Sun	2.0	6.5	67.0	335
Сироп рисовый	Сироп рисовый	0.5	0.2	77.0	311
Сироп сахарный	Сироп сахарный	0.2	0.0	70.5	285
Сироп топинамбура Тоба	Сироп топинамбура Тоба	0.0	0.0	69.5	267
Сироп Черное море Лайт вкус Лесные ягоды	Сироп Черное море Лайт вкус Лесные ягоды	0.0	0.0	4.0	16
Смесь для творожного пирога и запеканки Творопыш Dr.Oetker	Смесь для творожного пирога и запеканки Творопыш Dr.Oetker	0.5	0.0	87.8	353
Смесь сиамская (тайская)	Смесь сиамская (тайская)	10.9	3.2	38.3	255
Смесь хлебопекарская Зернопан	Смесь хлебопекарская Зернопан	24.3	20.1	38.4	443
Смилакс (Сассапариль)	Смилакс (Сассапариль)	0.0	0.0	0.0	
Сода пищевая	Сода пищевая	0.0	0.0	0.0	
Соевая паста	Соевая паста	8.3	20.2	21.7	301
Соевая спаржа сухая (Фучжу)	Соевая спаржа сухая (Фучжу)	45.0	20.0	20.0	440
Солод ржаной	Солод ржаной	9.8	1.2	66.4	316
Солодка (корень)	Солодка (корень)	0.0	0.1	93.5	375
Солодка (лакрица)	Солодка (лакрица)	0.0	0.1	93.0	375
Соль	Соль	0.0	0.0	0.0	
Соль гималайская розовая	Соль гималайская розовая	0.1	0.1	0.7	5
Соль йодированная	Соль йодированная	0.0	0.0	0.0	
Соль морская	Соль морская	0.0	0.0	0.0	
Соль сванская	Соль сванская	0.0	0.0	0.0	
Соль чёрная пищевая Четверговая	Соль чёрная пищевая Четверговая	0.0	0.0	0.0	
Соль чесночная	Соль чесночная	4.3	0.2	1.9	27
Соус Astoria Карри с ананасом	Соус Astoria Карри с ананасом	0.0	30.0	9.6	310
Соус Astoria Сэндвич	Соус Astoria Сэндвич	0.3	30.0	9.0	310
Соус Barilla Basilico томатный	1.6	2.7	6.8	61
Соус Barilla Pesti alla Genovese Basilico Fresco	Соус Barilla Pesti alla Genovese Basilico Fresco	5.0	52.0	5.5	514
Соус Barilla Pesti con Basilico e Rucola	Соус Barilla Pesti con Basilico e Rucola	3.9	42.5	10.2	437
Соус Dolmio томатный с грибами	Соус Dolmio томатный с грибами	1.6	0.2	7.1	38
Соус Dolmio томатный традиционный	Соус Dolmio томатный традиционный	1.5	1.3	7.5	48
Соус Heinz Swiss Chocolate	Соус Heinz Swiss Chocolate	3.5	3.5	58.0	280
Соус Kuhne Gherkin Relish с огурцами и горчицей	Соус Kuhne Gherkin Relish с огурцами и горчицей	1.6	1.7	19.0	104
Соус Kuhne Американский цезарь	Соус Kuhne Американский цезарь	2.8	21.5	4.7	241
Соус Monini Glaze бальзамический	Соус Monini Glaze бальзамический	0.1	0.0	37.8	159
Соус Mutti томатный для пиццы	Соус Mutti томатный для пиццы	1.3	0.3	6.0	32
Соус Sen Soy Yakisoba для обжарки лапши	Соус Sen Soy Yakisoba для обжарки лапши	3.4	0.1	15.6	77
Соус Tabasco перечный Chipotle	Соус Tabasco перечный Chipotle	1.2	0.5	9.5	47
Соус Tabasco перечный зелёный	Соус Tabasco перечный зелёный	0.6	0.1	1.7	11
Соус Tabasco перечный красный	Соус Tabasco перечный красный	1.0	0.6	1.6	16
Соус Tabasco перечный с чесноком	Соус Tabasco перечный с чесноком	1.5	0.8	4.8	32
Соус айоли	Соус айоли	2.0	86.5	0.8	791
Соус апельсиновый	Соус апельсиновый	0.6	4.6	3.1	55
Соус базиликовый	Соус базиликовый	1.1	54.6	2.8	505
Соус барбекю	Соус барбекю	0.6	0.7	39.4	166
Соус барбекю Heinz	Соус барбекю Heinz	1.1	0.0	28.6	119
Соус барбекю Rioba	Соус барбекю Rioba	1.2	1.3	16.8	84
Соус белый основной	Соус белый основной	1.0	3.8	4.1	56
Соус брусничный Astoria	Соус брусничный Astoria	0.0	0.0	24.5	100
Соус брусничный Heinz деликатесный	Соус брусничный Heinz деликатесный	0.2	0.1	51.0	200
Соус велюте	Соус велюте	1.0	4.4	3.6	75
Соус вустерский	Соус вустерский	1.0	0.1	18.5	78
Соус гарум	Соус гарум	3.4	0.0	21.3	121
Соус горчичный Astoria	Соус горчичный Astoria	0.0	20.0	10.7	224
Соус грибной	Соус грибной	1.2	4.8	6.2	82
Соус демиглас	Соус демиглас	1.0	3.0	5.0	51
Соус для спагетти Heinz сливочно-томатный	Соус для спагетти Heinz сливочно-томатный	1.9	4.0	6.3	69
Соус для спагетти Heinz традиционный	Соус для спагетти Heinz традиционный	1.2	3.6	5.8	61
Соус зеленый	Соус зеленый	4.0	26.4	4.0	270
Соус йогуртный Простоквашино 2.5%	Соус йогуртный Простоквашино 2.5%	4.9	2.5	7.3	71
Соус карри	Соус карри	1.4	23.1	14.9	267
Соус карри Rioba	Соус карри Rioba	0.6	1.7	25.0	121
Соус кимчи	Соус кимчи	6.1	1.1	15.1	94
Соус кисло-сладкий	Соус кисло-сладкий	0.3	0.8	39.7	167
Соус кисло-сладкий Sen Soy Премиум	Соус кисло-сладкий Sen Soy Премиум	1.0	0.0	30.0	124
Соус кисло-сладкий азиатский	Соус кисло-сладкий азиатский	2.0	6.0	25.0	143
Соус кисло-сладкий с ананасом	Соус кисло-сладкий с ананасом	0.3	0.2	21.2	89
Соус клюквенный	Соус клюквенный	0.2	1.0	42.2	180
Соус коктейль	Соус коктейль	3.2	30.0	11.6	329
Соус коричневый эспаньоль	Соус коричневый эспаньоль	0.7	9.1	3.3	98
Соус Коровка из Кореновки Молонез	Соус Коровка из Кореновки Молонез	2.4	15.0	4.6	171
Соус красный основной	Соус красный основной	1.1	6.2	2.0	48
Соус луковый	Соус луковый	1.3	6.1	4.8	75
Соус майонез со сметаной	Соус майонез со сметаной	2.8	31.9	3.3	312
Соус майонезный Bombbar Mayo	Соус майонезный Bombbar Mayo	6.9	0.8	5.6	73
Соус майонезный Violio Веганез водоросли нори	Соус майонезный Violio Веганез водоросли нори	0.2	56.0	4.5	520
Соус майонезный Violio Веганез кешью и базилик	Соус майонезный Violio Веганез кешью и базилик	0.2	56.0	4.5	523
Соус майонезный Zero низкокалорийный Провансальский	Соус майонезный Zero низкокалорийный Провансальский	0.0	9.0	5.2	102
Соус майонезный Zero низкокалорийный с оливками	Соус майонезный Zero низкокалорийный с оливками	0.0	9.0	5.2	102
Соус майонезный соевый ВкусВилл классический	Соус майонезный соевый ВкусВилл классический	2.4	17.0	5.9	186
Соус молочный	Соус молочный	2.0	7.1	5.2	84
Соус Моя семья к картофелю с зелёным луком	Соус Моя семья к картофелю с зелёным луком	0.8	18.0	7.9	197
Соус Моя семья к макаронам с сыром Чеддер	Соус Моя семья к макаронам с сыром Чеддер	1.0	18.1	8.2	200
Соус Моя семья к мясу три душистых перца	Соус Моя семья к мясу три душистых перца	0.8	18.0	7.9	197
Соус Моя семья к пельменям с чесноком и душистыми травами	Соус Моя семья к пельменям с чесноком и душистыми травами	0.8	18.0	7.9	197
Соус Моя семья к рыбе с маринованными огурчиками	Соус Моя семья к рыбе с маринованными огурчиками	0.9	18.0	7.0	193
Соус Моя семья к сосискам с горчичными семечками	Соус Моя семья к сосискам с горчичными семечками	0.8	18.0	8.9	201
Соус наршараб	Соус наршараб	0.5	0.2	67.6	270
Соус ореховый	Соус ореховый	23.4	37.5	10.5	473
Соус Пад Тай	Соус Пад Тай	14.6	27.1	25.0	375
Соус песто	Соус песто	5.0	45.0	6.0	454
Соус ремулад	Соус ремулад	0.2	9.0	1.1	89
Соус рисовый Мирин	Соус рисовый Мирин	0.2	0.2	52.2	258
Соус рыбный	Соус рыбный	2.9	1.7	4.8	43
Соус с хреном	Соус с хреном	0.7	4.2	0.1	27
Соус сирача Aroy-D	Соус сирача Aroy-D	1.4	0.0	39.0	166
Соус сливочно-чесночный Maestro Gusten	Соус сливочно-чесночный Maestro Gusten	0.2	40.0	6.0	390
Соус сметанный	Соус сметанный	1.9	5.7	5.2	78
Соус сметанный с шампиньонами	Соус сметанный с шампиньонами	0.6	14.5	9.1	169
Соус соевый	Соус соевый	7.0	0.0	8.0	53
Соус соевый Bragg Liquid Aminos	Соус соевый Bragg Liquid Aminos	10.0	0.0	0.0	40
Соус соевый Heinz	Соус соевый Heinz	2.6	0.0	43.0	183
Соус соевый Kikkoman	Соус соевый Kikkoman	10.3	0.0	8.1	73
Соус соевый Mivimex	Соус соевый Mivimex	6.3	0.0	0.0	25
Соус соевый Стебель бамбука к Креветкам	Соус соевый Стебель бамбука к Креветкам	9.1	2.1	13.0	52
Соус соевый Стебель бамбука к Пельменям	Соус соевый Стебель бамбука к Пельменям	6.6	1.2	12.0	48
Соус соевый Стебель бамбука Классический	8.0	1.4	13.0	52
Соус соевый Стебель бамбука Пикантный	Соус соевый Стебель бамбука Пикантный	8.4	2.1	13.0	52
Соус соевый Стебель бамбука с Грибами	Соус соевый Стебель бамбука с Грибами	9.7	2.4	13.0	52
Соус соевый Стебель бамбука с Перцем	Соус соевый Стебель бамбука с Перцем	9.0	2.0	13.0	52
Соус соевый Стебель бамбука с Чесноком	Соус соевый Стебель бамбука с Чесноком	8.2	1.7	13.0	52
Соус соевый Стебель бамбука Японский	Соус соевый Стебель бамбука Японский	6.0	1.7	13.0	52
Соус соевый Сэн Сой классический	Соус соевый Сэн Сой классический	3.5	0.0	11.0	58
Соус соевый Сэн Сой Премиум Терияки	Соус соевый Сэн Сой Премиум Терияки	4.8	0.0	25.1	119
Соус сырный Heinz	Соус сырный Heinz	2.5	36.0	5.5	356
Соус сырный Maestro Gusten 40%	Соус сырный Maestro Gusten 40%	0.2	40.0	5.0	390
Соус тайский Славянский дар	Соус тайский Славянский дар	1.9	3.9	38.8	198
Соус тартар	Соус тартар	0.9	46.0	7.0	464
Соус терияки	Соус терияки	5.9	0.0	15.5	89
Соус терияки Heinz	Соус терияки Heinz	1.5	0.0	42.0	180
Соус терияки Sen Soy сладкий для обжаривания	Соус терияки Sen Soy сладкий для обжаривания	4.0	0.0	31.0	140
Соус томатный	Соус томатный	1.7	7.8	4.5	80
Соус томатный острый	Соус томатный острый	2.5	0.0	21.8	98
Соус укропный	Соус укропный	0.8	30.0	8.1	309
Соус устричный	Соус устричный	3.5	0.0	21.3	121
Соус хойсин	Соус хойсин	0.2	0.0	8.1	30
Соус Цезарь Bombbar	Соус Цезарь Bombbar	4.1	0.7	7.4	58
Соус черносмородиновый	Соус черносмородиновый	0.4	0.0	19.4	77
Соус чесночный	Соус чесночный	1.6	32.2	9.1	335
Соус четыре перца Heinz	Соус четыре перца Heinz	1.5	42.0	13.0	440
Соус чили	Соус чили	2.5	0.3	30.1	120
Соус эбара	Соус эбара	12.4	3.0	16.0	99
Соус яблочный	Соус яблочный	0.3	0.1	19.0	77
Стевия в таблетках	Стевия в таблетках	0.0	0.0	68.0	272
Сумах	Сумах	10.0	9.0	28.0	239
Сухари панировочные	Сухари панировочные	9.7	1.9	77.6	347
Сухари панировочные Myllyn Paras	Сухари панировочные Myllyn Paras	13.9	2.5	72.5	372
Тамариндовая паста	Тамариндовая паста	2.8	0.6	62.5	239
Тандури масала	Тандури масала	15.0	15.0	45.0	379
Тимьян (чабрец)	Тимьян (чабрец)	5.6	1.7	10.5	101
Тимьян сушеный	Тимьян сушеный	9.1	7.4	26.9	276
Ткемали	Ткемали	0.2	0.3	15.2	65
Тмин	Тмин	19.8	14.6	11.9	333
Томатная паста	Томатная паста	2.5	0.3	16.7	80
Томатная паста Boni Selection	Томатная паста Boni Selection	1.5	0.0	5.2	30
Томатная паста Boni Selection с базиликом	Томатная паста Boni Selection с базиликом	1.5	0.5	5.9	35
Томатная паста Mutti	Томатная паста Mutti	4.2	0.2	17.0	96
Томатная паста Shilton	Томатная паста Shilton	1.0	0.2	3.4	84
Томатная паста Айлана	Томатная паста Айлана	0.0	0.0	15.8	79
Томатная паста Главпродукт	Томатная паста Главпродукт	0.0	0.0	15.8	79
Томатная паста Миладора	Томатная паста Миладора	1.5	0.0	19.4	84
Томатная паста Помидорка	Томатная паста Помидорка	3.5	0.6	13.9	75
Топпинг Ponti Glassa Gasrtonomica бальзамический	Топпинг Ponti Glassa Gasrtonomica бальзамический	0.2	0.0	44.1	189
Травы итальянские	Травы итальянские	12.4	6.5	26.0	259
Укроп сушеный	Укроп сушеный	2.5	0.5	6.3	40
Уксус бальзамический	Уксус бальзамический	0.5	0.0	17.0	88
Уксус белый винный	Уксус белый винный	0.0	0.0	5.9	14
Уксус виноградный	Уксус виноградный	0.0	0.0	0.3	18
Уксус кокосовый	Уксус кокосовый	0.0	0.0	0.9	21
Уксус рисовый	Уксус рисовый	0.3	0.0	13.0	54
Уксус столовый 9%	Уксус столовый 9%	0.0	0.0	3.0	32
Уксус яблочный 3%	Уксус яблочный 3%	0.0	0.0	2.3	11
Уксус яблочный 5%	Уксус яблочный 5%	0.0	0.0	0.7	18
Уксус яблочный 6%	Уксус яблочный 6%	0.0	0.0	7.2	14
Уксусная эссенция 70%	Уксусная эссенция 70%	0.0	0.0	0.0	
Фруктоза	Фруктоза	0.0	0.0	99.8	399
Хлебные крошки	Хлебные крошки	14.4	5.7	77.5	395
Хлорелла в порошке	Хлорелла в порошке	66.6	0.5	16.7	393
Хмели-сунели	Хмели-сунели	5.0	40.0	10.0	417
Хрен сушеный	Хрен сушеный	3.2	0.4	10.5	56
Хрен тёртый	Хрен тёртый	3.2	0.4	10.5	56
Хрен тёртый с клюквой	Хрен тёртый с клюквой	1.0	4.1	22.1	129
Хрен тёртый с лимоном	Хрен тёртый с лимоном	2.2	7.8	9.6	117
Хрен тёртый с чесноком	Хрен тёртый с чесноком	1.2	4.1	7.5	72
Хрен тёртый со свеклой	Хрен тёртый со свеклой	1.1	4.1	7.8	73
Хрен тёртый Столовый	Хрен тёртый Столовый	2.2	7.8	9.6	117
Хумус Sababa рецепт из Иерусалима	Хумус Sababa рецепт из Иерусалима	6.8	12.0	10.8	178
Хумус Sababa рецепт из Назарета	Хумус Sababa рецепт из Назарета	6.8	12.0	10.8	178
Хумус VolkoMolko острый с перцем Чили	Хумус VolkoMolko острый с перцем Чили	9.9	23.7	21.7	345
Хумус VolkoMolko с грибами	Хумус VolkoMolko с грибами	10.5	23.5	22.1	340
Цедра апельсина	Цедра апельсина	0.9	0.1	3.0	16
Цедра грейпфрута	Цедра грейпфрута	0.7	0.2	6.5	29
Цедра лайма	Цедра лайма	0.9	0.1	3.0	16
Цедра лимона	Цедра лимона	0.9	0.1	3.0	16
Цикорий	Цикорий	1.7	0.2	4.1	21
Цикорий (корень)	Цикорий (корень)	10.0	0.0	50.0	380
Чабер садовый сушеный	6.7	5.9	23.0	272
Черемуха молотая	Черемуха молотая	8.4	0.0	16.8	101
Черемуха сушеная	Черемуха сушеная	8.4	0.0	16.8	101
Чернушка посевная (калинджи)	Чернушка посевная (калинджи)	19.8	14.6	11.9	333
Чеснок сушеный	Чеснок сушеный	16.0	0.4	75.0	345
Чили паста	Чили паста	2.5	0.3	15.0	65
Шалфей	Шалфей	3.7	0.4	8.0	49
Шалфей сушеный	Шалфей сушеный	10.6	12.8	20.4	315
Шафран	Шафран	11.4	5.9	65.4	310
Шафран имеретинский (бархатцы)	Шафран имеретинский (бархатцы)	11.4	5.8	61.4	310
Эстрагон	Эстрагон	1.5	0.0	5.0	25
Эстрагон сушеный	Эстрагон сушеный	22.7	7.2	42.8	295
