Агар пищевой	4.0	    0.0	    76.0	301
Кетчуп Fine Life чесночный	Кетчуп Fine Life чесночный	1.0	0.0	22.0	93
Кетчуп Heinz для гриля и шашлыка	Кетчуп Heinz для гриля и шашлыка	0.9	0.0	23.4	97
Кетчуп Heinz острый	Кетчуп Heinz острый	0.9	0.0	23.2	96
Кетчуп Heinz с чесноком и пряностями	Кетчуп Heinz с чесноком и пряностями	1.1	0.0	24.1	101
Кетчуп Heinz супер острый	Кетчуп Heinz супер острый	0.9	0.0	23.2	96
Кетчуп Heinz томатный	Кетчуп Heinz томатный	0.9	0.0	23.1	96
Кетчуп Zero низкокалорийный	Кетчуп Zero низкокалорийный	1.1	0.2	7.3	35
Кетчуп Махеевъ перечный микс	Кетчуп Махеевъ перечный микс	1.3	0.0	18.9	81
Кетчуп Махеевъ пряные травы с кинзой	Кетчуп Махеевъ пряные травы с кинзой	1.3	0.0	18.9	81
Кетчуп Махеевъ с аджикой и кумином	Кетчуп Махеевъ с аджикой и кумином	1.6	0.0	19.4	84
Кинза сушёная молотая	Кинза сушёная молотая	3.0	0.0	54.5	216
Клетчатка Агросельпром из молотых семян кунжута	Клетчатка Агросельпром из молотых семян кунжута	50.7	19.8	11.0	425
Клетчатка Агросельпром из отрубей гречихи	Клетчатка Агросельпром из отрубей гречихи	15.5	4.3	64.5	343
Клетчатка Агросельпром из отрубей ржи	Клетчатка Агросельпром из отрубей ржи	11.0	3.0	56.8	284
Клетчатка Агросельпром из семян льна	Клетчатка Агросельпром из семян льна	34.0	14.0	9.0	298
Клетчатка Агросельпром из ядер тыквенных семечек	Клетчатка Агросельпром из ядер тыквенных семечек	27.0	10.0	19.0	274
Клетчатка мелкая	Клетчатка мелкая	16.0	3.8	23.5	186
Клетчатка Сибирская	Клетчатка Сибирская	0.5	0.5	4.0	40
Кожура мандарина	Кожура мандарина	0.8	0.2	12.0	52
Кокосовая манна Nutiva органическая	Кокосовая манна Nutiva органическая	3.3	30.0	10.0	334
Кокосовая стружка	Кокосовая стружка	13.0	65.0	14.0	693
Кокосовая стружка Националь	Кокосовая стружка Националь	5.0	64.0	15.0	660
Кокосовая стружка низкой жирности	Кокосовая стружка низкой жирности	10.5	48.6	27.0	587
Концентрат соуса карри S&B Golden Curry	Концентрат соуса карри S&B Golden Curry	6.1	28.0	51.1	483
Коньячная эссенция	Коньячная эссенция	0.0	0.0	0.0	
Кориандр	Кориандр	1.5	0.0	5.0	25
Кориандр молотый	Кориандр молотый	12.3	17.7	13.1	298
Корица	Корица	3.9	3.2	79.8	261
Краситель пищевой	Краситель пищевой	0.0	0.0	0.0	
Крахмал картофельный	Крахмал картофельный	0.1	0.0	79.6	300
Крахмал кукурузный	Крахмал кукурузный	1.0	0.6	85.2	329
Крахмал тапиоковый	Крахмал тапиоковый	0.0	0.0	88.0	360
Крем Zero сливочный Coco Jamboo с добавлением кокосовой стружки	Крем Zero сливочный Coco Jamboo с добавлением кокосовой стружки	1.8	19.0	5.8	202
Крем Zero сливочный Toffee Jamboo со вкусом карамели	Крем Zero сливочный Toffee Jamboo со вкусом карамели	2.0	17.3	8.2	196
Крем для торта Dr.Oetker шоколадный	Крем для торта Dr.Oetker шоколадный	15.9	28.6	34.0	457
Крем суфле Егорьевская ФКГ Постный с грибами	Крем суфле Егорьевская ФКГ Постный с грибами	5.0	42.0	3.5	412
