Икра осетровая зернистая	Икра осетровая зернистая	28.0	9.7	0.0	203
Икра осетровая паюсная	Икра осетровая паюсная	36.0	10.2	0.0	236
Икра осетровая пробойная	Икра осетровая пробойная	36.0	10.2	0.0	235
Икра палтуса	Икра палтуса	20.0	3.0	0.0	107
Икра сазана	Икра сазана	18.5	12.5	1.0	179
Икра севрюжья зернистая	Икра севрюжья зернистая	28.4	11.9	0.0	221
Икра сельди	Икра сельди	31.6	10.3	0.0	222
Икра судака	Икра судака	17.5	2.0	0.0	88
Икра толстолобика	Икра толстолобика	8.8	6.2	12.9	137
Икра трески	Икра трески	24.0	0.2	0.0	115
Икра трески консервированная	Икра трески консервированная	19.0	11.0	1.0	179
Икра щучья	Икра щучья	17.3	2.0	0.0	87
Икра ястычная	Икра ястычная	17.5	2.0	0.0	88
Кальмар Меридиан в рассоле	Кальмар Меридиан в рассоле	7.5	1.2	1.1	45
Кальмары (кольца сушеные)	Кальмары (кольца сушеные)	49.1	1.9	3.0	226
Кальмары (щупальца в маринаде)	Кальмары (щупальца в маринаде)	70.0	1.0	3.0	301
Кальмары (щупальца сушеные)	Кальмары (щупальца сушеные)	70.0	1.0	3.0	293
Кальмары жареные	Кальмары жареные	14.2	13.4	1.8	188
Кальмары Капитан вкусов натуральные порционные	Кальмары Капитан вкусов натуральные порционные	15.0	1.0	1.7	76
Кальмары консервированные	Кальмары консервированные	20.0	2.0	0.0	105
Кальмары маринованные	Кальмары маринованные	20.0	2.1	1.8	106
Кальмары отварные	Кальмары отварные	21.2	2.8	2.0	122
Кальмары с гриля	Кальмары с гриля	21.8	2.9	2.1	115
Кальмары свежие	Кальмары свежие	19.0	2.5	1.8	98
Кальмары сушеные	Кальмары сушеные	62.0	2.0	5.0	286
Камбала горячего копчения	Камбала горячего копчения	22.0	11.6	0.0	192
Камбала жареная	Камбала жареная	16.8	15.1	4.7	223
Камбала отварная	Камбала отварная	18.3	3.3	0.0	103
Камбала свежая	Камбала свежая	16.5	1.8	0.0	83
Каракатица	Каракатица	16.2	0.7	0.8	79
Каракатица (чернила)	Каракатица (чернила)	16.2	0.7	0.8	79
Карась маринованный	Карась маринованный	15.5	8.2	0.6	136
Карась отварной	Карась отварной	20.7	2.1	0.0	102
Карась свежий	Карась свежий	17.7	1.8	0.0	87
Карп жареный	Карп жареный	18.3	11.6	4.5	196
Карп консервированный	Карп консервированный	13.6	8.7	1.4	138
Карп маринованный	Карп маринованный	13.6	8.7	1.4	138
Карп отварной	Карп отварной	16.0	3.7	2.0	102
Карп свежий	Карп свежий	16.0	5.3	0.0	112
Кета свежая	Кета свежая	22.0	5.6	0.0	138
Кета соленая	Кета соленая	24.3	9.6	0.0	184
Кефаль отварная	Кефаль отварная	19.0	4.3	0.0	115
Кефаль свежая	Кефаль свежая	21.0	0.4	0.0	124
Кефаль чёрная (лобан)	Кефаль чёрная (лобан)	19.3	3.8	0.0	117
Кижуч	Кижуч	21.6	6.0	0.0	140
Килька балтийская	Килька балтийская	14.1	9.0	0.0	137
Килька горячего копчения	Килька горячего копчения	21.3	8.5	0.0	162
Килька каспийская	Килька каспийская	18.5	13.1	0.0	191
