Сыворотка творожная	0.8	0.2	3.5	20
Сыр Viola с укропом и огурцом	Сыр Viola с укропом и огурцом	11.0	28.0	2.0	305
Сыр Viola сливочный	Сыр Viola сливочный	11.0	28.0	2.0	305
Сыр Vitalat Рикотта	Сыр Vitalat Рикотта	7.0	6.0	0.0	97
Сыр VolkoMolko веганский Плавящийся	Сыр VolkoMolko веганский Плавящийся	13.0	35.0	16.0	429
Сыр а ла Каймак Mlekara Sabac мягкий 70%	Сыр а ла Каймак Mlekara Sabac мягкий 70%	6.1	23.5	1.1	242
Сыр а ла Каймак мягкий 70%	Сыр а ла Каймак мягкий 70%	6.1	23.5	1.1	242
Сыр Абонданс	Сыр Абонданс	26.3	26.6	0.0	350
Сыр Адыгейский	Сыр Адыгейский	18.5	14.0	0.0	240
Сыр Алтайский	Сыр Алтайский	26.0	26.5	3.5	356
Сыр Альпийский	Сыр Альпийский	25.0	27.0	0.0	353
Сыр Амадеус	Сыр Амадеус	28.6	29.3	0.1	275
Сыр Амбер	Сыр Амбер	31.0	10.0	10.0	220
Сыр Анари	Сыр Анари	11.0	15.0	2.0	195
Сыр Аппенцеллер	Сыр Аппенцеллер	24.7	31.7	2.0	403
Сыр Арла Chef Bake'n'Roll крем сливочный 25%	Сыр Арла Chef Bake'n'Roll крем сливочный 25%	6.3	25.0	5.4	272
Сыр Арла Буко	Сыр Арла Буко	8.5	17.0	3.0	200
Сыр Арла Буко Баланс	Сыр Арла Буко Баланс	8.5	17.0	3.0	200
Сыр Арла Натура Лайт	Сыр Арла Натура Лайт	29.0	16.0	1.0	260
Сыр Арла Натура Моцарелла	Сыр Арла Натура Моцарелла	26.0	21.7	1.0	303
Сыр Арла Натура Сливочный	Сыр Арла Натура Сливочный	25.0	26.0	0.0	340
Сыр Асьяго	Сыр Асьяго	10.9	8.1	1.2	122
Сыр Атлет	Сыр Атлет	30.0	19.0	0.0	290
Сыр Бавария Блю	Сыр Бавария Блю	13.5	43.8	0.5	450
Сыр Белебеевский Гауда Экстра 45%	27.0	26.5	0.0	347
Сыр Белебеевский Купеческий 52%	Сыр Белебеевский Купеческий 52%	22.0	30.0	0.0	358
Сыр Белебеевский Российский 50%	Сыр Белебеевский Российский 50%	24.0	28.0	0.0	354
Сыр Белорусский клинковый мягкий	Сыр Белорусский клинковый мягкий	22.0	7.7	1.3	163
Сыр Бийский	24.2	29.9	0.0	371
Сыр Бонгрейн Фол Эпи	Сыр Бонгрейн Фол Эпи	28.8	16.0	1.8	267
Сыр Бофор	Сыр Бофор	26.3	26.6	0.0	350
Сыр Брест-Литовск Классический 45%	Сыр Брест-Литовск Классический 45%	26.3	26.1	0.0	340
Сыр Брест-Литовск Лёгкий 35%	Сыр Брест-Литовск Лёгкий 35%	31.2	18.2	0.0	289
Сыр Брест-Литовск Сливочный 50%	Сыр Брест-Литовск Сливочный 50%	22.5	29.5	0.0	356
Сыр Брест-Литовск Финский 45%	Сыр Брест-Литовск Финский 45%	23.0	24.0	0.0	308
Сыр Брест-Литовск Эдам 40%	Сыр Брест-Литовск Эдам 40%	28.4	21.6	0.0	308
Сыр Бри	Сыр Бри	21.0	23.0	0.0	291
Сыр брынза (из коровьего молока)	Сыр брынза (из коровьего молока)	17.9	20.1	0.0	260
Сыр брынза (из овечьего молока)	Сыр брынза (из овечьего молока)	14.6	25.5	0.0	298
Сыр Брынза Сербская	Сыр Брынза Сербская	11.9	15.5	2.6	208
Сыр Бурата	Сыр Бурата	17.0	20.0	1.8	255
Сыр Вырусский	29.0	15.0	0.0	258
Сыр Гальбани Моцарелла	Сыр Гальбани Моцарелла	17.5	13.5	1.0	196
Сыр Гауда	Сыр Гауда	25.0	27.0	2.0	356
Сыр Гауда Кезский сырзавод	Сыр Гауда Кезский сырзавод	26.7	20.8	0.0	294
Сыр Гауда Фермер-Центр.рф	Сыр Гауда Фермер-Центр.рф	25.0	24.0	0.0	320
Сыр Гермелин	Сыр Гермелин	20.0	25.0	1.0	303
Сыр Гиагинский Косичка копченый	Сыр Гиагинский Косичка копченый	22.6	23.0	0.0	297
Сыр Гиагинский Чечил	Сыр Гиагинский Чечил	19.5	18.8	0.0	256
Сыр Голландский	Сыр Голландский	26.0	26.8	0.0	352
Сыр Горгонзола	Сыр Горгонзола	19.0	26.0	0.0	330
Сыр Горный	Сыр Горный	29.3	29.7	1.0	400
Сыр Грана Падано	Сыр Грана Падано	33.0	28.0	0.0	384
Сыр Грация 20%	Сыр Грация 20%	30.0	9.0	0.0	209
Сыр Грюйер	Сыр Грюйер	27.0	31.0	0.0	396
Сыр Грюн Вальд твердый с пажитником 45%	Сыр Грюн Вальд твердый с пажитником 45%	24.0	29.0	0.0	336
Сыр Данбо	Сыр Данбо	25.0	26.0	1.0	340
Сыр Датский	Сыр Датский	25.0	24.3	0.0	330
Сыр Деревенский	Сыр Деревенский	10.3	5.3	3.0	103
Сыр Джугас	Сыр Джугас	33.0	25.0	1.7	364
Сыр Домашний	Сыр Домашний	12.7	5.0	4.0	113
Сыр Дор Блю	Сыр Дор Блю	21.0	30.0	0.0	354
Сыр Дор Блю a la creme	Сыр Дор Блю a la creme	7.0	25.0	3.0	265
Сыр Дорогобужский	20.0	28.0	0.0	332
Сыр зеленый	Сыр зеленый	26.0	26.5	3.5	356
Сыр Избёнка (ВкусВилл) Алтайский полутвёрдый 50%	Сыр Избёнка (ВкусВилл) Алтайский полутвёрдый 50%	25.0	29.0	0.0	360
Сыр Избёнка (ВкусВилл) Делис с белой плесенью мягкий 50%	Сыр Избёнка (ВкусВилл) Делис с белой плесенью мягкий 50%	20.0	25.0	0.0	305
Сыр Избёнка (ВкусВилл) Мегард твёрдый	Сыр Избёнка (ВкусВилл) Мегард твёрдый	30.5	24.1	0.0	371
Сыр Избёнка (ВкусВилл) Молога полутвёрдый 50%	Сыр Избёнка (ВкусВилл) Молога полутвёрдый 50%	20.0	28.0	0.0	332
Сыр Избёнка (ВкусВилл) с томатом и базиликом мягкий 45%	Сыр Избёнка (ВкусВилл) с томатом и базиликом мягкий 45%	21.4	16.0	5.7	250
Сыр Избёнка (ВкусВилл) Страчателла итальянский мягкий 40%	Сыр Избёнка (ВкусВилл) Страчателла итальянский мягкий 40%	10.0	21.0	1.9	236
Сыр Ичалки Диетический 27%	Сыр Ичалки Диетический 27%	12.2	12.7	0.0	164
Сыр Каждый день Рикотта	Сыр Каждый день Рикотта	9.0	10.7	1.0	148
Сыр Калинка Pecoro мягкий 35%	Сыр Калинка Pecoro мягкий 35%	20.4	11.6	0.0	186
Сыр Камамбер	Сыр Камамбер	21.0	23.0	0.0	291
Сыр Камбоцола	Сыр Камбоцола	13.5	43.8	0.5	427
Сыр Кантали	Сыр Кантали	26.7	14.1	0.0	234
Сыр Карат Violette Cream Cheese сливочный	Сыр Карат Violette Cream Cheese сливочный	7.7	26.4	2.9	260
Сыр Карат Violette творожный Ароматная зелень	Сыр Карат Violette творожный Ароматная зелень	7.1	27.4	2.6	285
Сыр Карат Violette творожный сливочный	Сыр Карат Violette творожный сливочный	8.9	27.8	3.0	298
Сыр Карат Волна плавленый	Сыр Карат Волна плавленый	15.1	23.1	1.9	276
Сыр Карат Дружба плавленый	Сыр Карат Дружба плавленый	15.0	24.2	2.5	287
Сыр Карат кисломолочный плавленый	Сыр Карат кисломолочный плавленый	14.1	18.0	3.7	233
Сыр Карат Орбита плавленый	Сыр Карат Орбита плавленый	24.7	8.0	0.0	171
Сыр Карат с грибами для супа плавленый	Сыр Карат с грибами для супа плавленый	15.9	25.9	1.9	304
Сыр Карат с луком для супа плавленый	Сыр Карат с луком для супа плавленый	16.4	28.6	0.0	323
Сыр Карат шоколадный плавленый	Сыр Карат шоколадный плавленый	11.6	18.5	25.8	311
Сыр Карат Янтарь плавленый	Сыр Карат Янтарь плавленый	12.0	26.4	3.1	297
Сыр Кастелло Бри	Сыр Кастелло Бри	19.0	24.0	1.0	296
Сыр Кастелло Данаблю	Сыр Кастелло Данаблю	19.7	28.6	0.7	339
Сыр Качокавалло	Сыр Качокавалло	22.6	13.1	0.0	209
Сыр Киприно Light 15%	Сыр Киприно Light 15%	29.5	15.0	0.0	260
Сыр Кисломолочный	Сыр Кисломолочный	31.0	0.7	0.3	133
Сыр Кобрин Черный принц	Сыр Кобрин Черный принц	25.2	22.0	0.0	328
Сыр Козий	Сыр Козий	21.3	21.7	0.7	290
Сыр колбасный копчёный	Сыр колбасный копчёный	23.0	19.0	0.0	271
Сыр Комте	Сыр Комте	28.4	32.0	0.0	407
Сыр Копчёный	Сыр Копчёный	27.7	25.3	7.3	380
Сыр Костромской	Сыр Костромской	25.2	26.3	0.0	345
Сыр Красная цена Голландский	Сыр Красная цена Голландский	26.8	25.2	0.0	334
Сыр Красная цена Российский	Сыр Красная цена Российский	28.0	22.5	0.0	342
Сыр Красная цена Тильзитер	Сыр Красная цена Тильзитер	26.0	23.4	0.0	315
Сыр Курт	Сыр Курт	25.0	16.0	2.7	260
Сыр Ламбер	Сыр Ламбер	23.7	30.5	0.0	377
Сыр Ламбер сливочный	23.7	32.5	0.0	395
Сыр Ламбер Тильзитер	Сыр Ламбер Тильзитер	24.0	25.0	0.0	339
Сыр Ларец с пажитником	Сыр Ларец с пажитником	23.8	30.3	0.0	376
Сыр Латвийский	Сыр Латвийский	23.3	24.1	0.0	316
Сыр Ливаро	Сыр Ливаро	20.0	29.0	0.0	340
Сыр Лимбургер	Сыр Лимбургер	20.1	27.3	0.1	327
Сыр Литовский	Сыр Литовский	27.9	14.7	0.0	250
Сыр Луговая свежесть Легкий 20%	Сыр Луговая свежесть Легкий 20%	29.0	9.0	0.0	200
Сыр Маасдам	Сыр Маасдам	23.5	26.0	0.0	350
Сыр Манчего	Сыр Манчего	24.0	32.0	2.6	395
Сыр Маскарпоне	Сыр Маскарпоне	4.8	41.5	4.8	412
Сыр Мексиканский	Сыр Мексиканский	24.7	19.4	3.4	282
Сыр Милково Дары Кавказа мягкий 45%	Сыр Милково Дары Кавказа мягкий 45%	18.5	14.0	0.0	200
Сыр Мондзеер	Сыр Мондзеер	22.0	20.3	6.7	280
Сыр Московский	Сыр Московский	26.0	26.5	3.5	356
