Сыворотка творожная	0.8	0.2	3.5	20
Творог Благода 1.8% обезжиренный	Творог Благода 1.8% обезжиренный	16.0	1.8	3.3	93
Творог Благода 12% Крестьянский	Творог Благода 12% Крестьянский	14.0	12.0	2.0	175
Творог Благода 7.5% низкокалорийный	Творог Благода 7.5% низкокалорийный	16.0	7.5	3.0	144
Творог Брест-Литовск 3% Классический	Творог Брест-Литовск 3% Классический	16.7	3.0	1.4	97
Творог Вкуснотеево 0.5% обезжиренный	Творог Вкуснотеево 0.5% обезжиренный	18.0	0.5	3.3	90
Творог Вкусный день обезжиренный	Творог Вкусный день обезжиренный	18.0	0.0	3.3	85
Творог Вологжанка 0-1.8% обезжиренный	Творог Вологжанка 0-1.8% обезжиренный	16.0	1.8	3.3	93
Творог Вологжанка 5%	Творог Вологжанка 5%	15.0	5.0	3.0	53
Творог Вологжанка 9%	Творог Вологжанка 9%	15.0	9.0	3.0	153
Творог домашний (из молока 1%)	Творог домашний (из молока 1%)	17.6	6.4	11.3	166
Творог Домик в деревне 0.1%	10.0	0.1	3.5	55
Творог Домик в деревне 0.2%	Творог Домик в деревне 0.2%	16.0	0.2	1.8	73
Творог Домик в деревне 9%	Творог Домик в деревне 9%	16.0	9.0	2.0	153
Творог Избёнка (ВкусВилл) 0% мягкий обезжиренный	Творог Избёнка (ВкусВилл) 0% мягкий обезжиренный	7.0	0.7	2.6	43
Творог Избёнка (ВкусВилл) 1% рассыпчатый	Творог Избёнка (ВкусВилл) 1% рассыпчатый	18.0	1.0	2.0	89
Творог Избёнка (ВкусВилл) 5% из топленого молока	Творог Избёнка (ВкусВилл) 5% из топленого молока	16.0	5.0	3.0	121
Творог Избёнка (ВкусВилл) 6% мягкий с наполнителем Черника двухслойный	Творог Избёнка (ВкусВилл) 6% мягкий с наполнителем Черника двухслойный	7.0	6.0	12.5	132
Творог Избёнка (ВкусВилл) 9%	Творог Избёнка (ВкусВилл) 9%	16.0	9.0	3.0	157
Творог Искренне Ваш 5% с семенами льна	Творог Искренне Ваш 5% с семенами льна	17.0	5.0	2.3	122
Творог Карат зернёный домашний 4%	Творог Карат зернёный домашний 4%	14.0	4.0	2.0	100
Творог Козельский 5%	Творог Козельский 5%	16.0	5.0	3.0	121
Творог Козельский 9%	Творог Козельский 9%	16.0	9.0	3.0	157
Творог Козельский обезжиренный	Творог Козельский обезжиренный	18.0	0.0	3.3	85
Творог Ласковое лето 3% зерненый	Творог Ласковое лето 3% зерненый	15.1	3.0	2.2	96
Творог Лосево 0%	Творог Лосево 0%	18.0	0.0	3.3	85
Творог Милава 4% мягкий	Творог Милава 4% мягкий	11.2	4.0	1.3	85
Творог Милава 9% натуральный	Творог Милава 9% натуральный	15.0	9.0	1.5	147
Творог Милава обезжиренный	Творог Милава обезжиренный	18.0	0.0	1.2	75
Творог мягкий нежный обезжиренный	Творог мягкий нежный обезжиренный	7.0	0.0	1.0	32
Творог Останкинский обезжиренный	Творог Останкинский обезжиренный	13.5	0.1	3.3	68
Творог Пискарёвский 5%	Творог Пискарёвский 5%	16.0	5.0	3.0	121
Творог Простоквашино 0% мягкий	Творог Простоквашино 0% мягкий	12.0	0.1	3.5	63
Творог Простоквашино 2% нежирный	Творог Простоквашино 2% нежирный	18.0	2.0	3.3	103
Творог Простоквашино 5% зерненый	Творог Простоквашино 5% зерненый	12.7	5.0	2.4	105
Творог Простоквашино 5% зерненый с клубникой	Творог Простоквашино 5% зерненый с клубникой	10.3	5.0	12.5	127
Творог Простоквашино 5% зерненый с малиной	Творог Простоквашино 5% зерненый с малиной	10.3	4.0	12.2	126
Творог Простоквашино 5% зерненый с персиком	Творог Простоквашино 5% зерненый с персиком	10.3	4.0	13.1	130
Творог Простоквашино 5% зерненый с черникой	Творог Простоквашино 5% зерненый с черникой	10.3	4.0	13.1	127
Творог Простоквашино 5% классический	Творог Простоквашино 5% классический	16.0	5.0	3.0	121
Творог Простоквашино 9% классический	Творог Простоквашино 9% классический	16.0	9.0	3.0	157
Творог Романов Луг 5% мягкий	Творог Романов Луг 5% мягкий	8.5	5.0	3.0	90
Творог Савушкин продукт 0% обезжиренный Мягкий Нежный	Творог Савушкин продукт 0% обезжиренный Мягкий Нежный	10.0	0.1	1.0	45
Творог Савушкин продукт 5% Мягкий Нежный	Творог Савушкин продукт 5% Мягкий Нежный	8.5	5.0	1.6	85
Творог Савушкин Хуторок 1%	Творог Савушкин Хуторок 1%	18.0	1.0	1.3	86
Творог Свитлогорье 4% мягкий	Творог Свитлогорье 4% мягкий	9.3	4.0	1.3	80
Творог Село Зелёное 5%	Творог Село Зелёное 5%	16.0	5.0	3.0	121
Творог Село Зелёное обезжиренный	Творог Село Зелёное обезжиренный	18.0	0.5	3.3	90
Творог Серышевский обезжиренный	Творог Серышевский обезжиренный	18.0	1.8	3.3	85
Творожная масса	Творожная масса	7.1	23.0	27.5	341
Творожная масса Останкинское Особая с курагой 23%	Творожная масса Останкинское Особая с курагой 23%	7.7	20.7	30.2	338
Творожная масса с изюмом	Творожная масса с изюмом	6.8	21.6	29.9	343
Творожная масса с курагой	Творожная масса с курагой	9.0	23.0	29.0	357
Творожный продукт Снеда Домашний рассыпчатый 12%	Творожный продукт Снеда Домашний рассыпчатый 12%	6.0	12.0	1.8	139
Творожный продукт Чудо со вкусом ванили с шоколадным соусом	Творожный продукт Чудо со вкусом ванили с шоколадным соусом	4.2	5.6	17.3	136
Творожок Ирменский 0.5% с ванилином	Творожок Ирменский 0.5% с ванилином	16.0	0.5	10.0	108
Творожок Чудо вишня-черешня	Творожок Чудо вишня-черешня	4.4	4.0	20.2	134
Творожок Чудо киви-банан	Творожок Чудо киви-банан	4.4	4.2	16.9	123
Творожок Чудо клубника	Творожок Чудо клубника	4.4	4.2	18.6	130
Творожок Чудо клубника-земляника	Творожок Чудо клубника-земляника	4.4	4.0	19.4	131
Творожок Чудо персик-груша	Творожок Чудо персик-груша	4.4	4.2	18.9	131
Творожок Чудо черника	Творожок Чудо черника	4.4	4.2	19.0	131
Творожок Чудо шоколад	Творожок Чудо шоколад	4.4	4.2	19.1	132
Тофу-паштет Casa Kubania индийский	Тофу-паштет Casa Kubania индийский	6.0	22.0	2.0	230
Тофу-паштет Casa Kubania по-провански	Тофу-паштет Casa Kubania по-провански	6.0	24.0	4.5	260
