Ангурия (Антильский огурец)	1.8	1.3	7.6	44
Салаты Белая Дача Капуста с морковью	Салаты Белая Дача Капуста с морковью	1.8	0.1	5.2	27
Салаты Белая Дача Кейломания Микс №2	Салаты Белая Дача Кейломания Микс №2	2.2	0.4	3.8	27
Салаты Белая Дача Лазурный берег	Салаты Белая Дача Лазурный берег	2.1	0.3	3.6	25
Салаты Белая Дача Молодой шпинат	Салаты Белая Дача Молодой шпинат	1.5	0.2	2.3	17
Салаты Белая Дача Монпелье	Салаты Белая Дача Монпелье	1.5	0.2	2.3	17
Салаты Белая Дача Нежный корн	Салаты Белая Дача Нежный корн	1.5	0.2	2.3	17
Салаты Белая Дача Окинава	Салаты Белая Дача Окинава	1.5	0.2	2.3	17
Салаты Белая Дача Олимп	Салаты Белая Дача Олимп	1.5	0.2	3.3	20
Салаты Белая Дача Пикантный фриссе	Салаты Белая Дача Пикантный фриссе	1.5	0.2	2.3	17
Салаты Белая Дача Полезный кейл	Салаты Белая Дача Полезный кейл	2.0	0.4	4.0	30
Салаты Белая Дача Пряная рукола	Салаты Белая Дача Пряная рукола	1.5	0.2	2.3	17
Салаты Белая Дача Сладкая свекла	Салаты Белая Дача Сладкая свекла	1.5	0.1	9.1	42
Салаты Белая Дача Сочная морковь	Салаты Белая Дача Сочная морковь	1.3	0.1	7.2	34
Салаты Белая Дача Сочный романо	Салаты Белая Дача Сочный романо	1.5	0.2	2.3	17
Салаты Белая Дача Средиземноморский салат	Салаты Белая Дача Средиземноморский салат	1.5	0.2	2.0	16
Салаты Белая Дача Тоскана	Салаты Белая Дача Тоскана	1.5	0.2	2.0	16
Салаты Белая Дача Хрустящий айсберг	Салаты Белая Дача Хрустящий айсберг	1.5	0.2	2.3	17
Свекла	Свекла	1.5	0.1	8.8	43
Свекла Fresh Food отварная	Свекла Fresh Food отварная	1.8	0.0	9.8	48
Свекла Бондюэль в кубиках в кисло-сладком маринаде	Свекла Бондюэль в кубиках в кисло-сладком маринаде	0.8	0.1	6.5	30
Свекла варёная	Свекла варёная	1.8	0.0	10.8	49
Свекла жёлтая	Свекла жёлтая	1.5	0.1	9.1	50
Свекла запеченная	Свекла запеченная	1.5	0.0	8.5	41
Свекла квашеная	Свекла квашеная	1.3	0.0	6.0	32
Свекла консервированная	Свекла консервированная	0.9	0.1	5.4	31
Свекла сушеная	Свекла сушеная	9.0	0.6	56.6	254
Свекла тушеная	Свекла тушеная	2.7	5.5	12.2	106
Свекольная ботва	Свекольная ботва	2.1	0.5	5.5	17
Сельдерей	Сельдерей	0.9	0.1	2.1	12
Сельдерей (корень)	Сельдерей (корень)	1.3	0.3	6.5	32
Сельдерей (корень) сушеный	Сельдерей (корень) сушеный	7.8	2.0	36.6	186
Скорцонера	Скорцонера	1.0	1.0	1.0	17
Соя	Соя	34.9	17.3	17.3	381
Соя (ростки)	Соя (ростки)	13.1	6.7	9.6	141
Соя (сухие семена)	Соя (сухие семена)	34.9	17.3	26.5	332
Спаржа	Спаржа	1.9	0.1	3.1	20
Спаржа Бондюэль зелёная целая	Спаржа Бондюэль зелёная целая	0.6	1.3	2.6	24
Спаржа маринованная	Спаржа маринованная	1.8	0.2	1.5	15
Стевия (Медовая трава)	Стевия (Медовая трава)	0.0	0.0	0.1	18
Стрелолист обыкновенный (Болотник)	Стрелолист обыкновенный (Болотник)	5.3	0.3	20.2	99
Томат (помидор)	Томат (помидор)	1.1	0.2	3.7	20
Томат вяленый	Томат вяленый	14.1	3.0	43.5	258
Томат замороженный	Томат замороженный	1.1	0.2	3.9	22
Томат консервированный	Томат консервированный	1.1	0.1	3.5	20
Томат маринованный	Томат маринованный	1.7	0.2	1.8	15
Томат солёный	Томат солёный	1.1	0.1	1.6	13
Томат сушеный	Томат сушеный	3.1	4.4	4.7	71
Томат черри	Томат черри	0.8	0.1	2.8	15
Томаты 4 сезона нарезанные	Томаты 4 сезона нарезанные	1.1	0.2	3.9	22
Томаты Parmalat Pomi протертые	Томаты Parmalat Pomi протертые	1.3	0.2	4.0	26
Томаты в собственном соку	Томаты в собственном соку	1.2	0.5	3.6	24
Топинамбур	Топинамбур	2.1	0.1	12.8	61
Турнепс	Турнепс	1.0	0.0	6.0	28
Тыква	Тыква	1.3	0.3	7.7	28
Тыква 4 сезона нарезанная	Тыква 4 сезона нарезанная	1.3	0.3	7.7	28
Тыква баттернат	Тыква баттернат	1.0	0.1	9.7	45
Тыква жареная	Тыква жареная	1.4	5.5	5.2	76
Тыква маринованная	Тыква маринованная	0.6	0.1	8.9	42
Тыква мускатная	Тыква мускатная	1.0	0.1	9.7	45
Тысячелистник	Тысячелистник	0.4	0.0	5.0	23
Укроп	Укроп	2.5	0.5	6.3	38
Фасоль (ростки)	1.5	0.1	1.8	14
Фасоль 4 сезона зелёная стручковая нарезанная	Фасоль 4 сезона зелёная стручковая нарезанная	3.1	0.3	3.1	28
Фасоль 4 сезона золотистая стручковая нарезанная	Фасоль 4 сезона золотистая стручковая нарезанная	3.1	0.3	3.1	28
Фасоль Heinz в томатном соусе	Фасоль Heinz в томатном соусе	4.9	0.2	12.9	73
Фасоль Hortex стручковая резаная	Фасоль Hortex стручковая резаная	2.2	0.2	3.3	31
Фасоль белая	Фасоль белая	20.9	1.8	64.0	325
Фасоль белая консервированная	Фасоль белая консервированная	6.7	0.0	16.0	91
Фасоль Бондюэль белая в томатном соусе	Фасоль Бондюэль белая в томатном соусе	5.4	0.3	20.3	106
Фасоль Бондюэль белая консервированная	Фасоль Бондюэль белая консервированная	6.7	0.3	17.4	99
Фасоль Бондюэль белая Пикантная в томатном соусе	Фасоль Бондюэль белая Пикантная в томатном соусе	5.5	3.0	19.0	125
Фасоль Бондюэль зелёная резаная	Фасоль Бондюэль зелёная резаная	1.4	0.2	4.4	25
Фасоль Бондюэль зелёная стручковая замороженная	Фасоль Бондюэль зелёная стручковая замороженная	1.9	0.2	7.6	28
Фасоль Бондюэль коричневая со сладким перцем в соусе Кайен	Фасоль Бондюэль коричневая со сладким перцем в соусе Кайен	2.6	0.4	7.6	44
Фасоль Бондюэль красная в соусе Чили	Фасоль Бондюэль красная в соусе Чили	5.5	3.0	19.0	112
Фасоль Бондюэль красная в томатном соусе чили	Фасоль Бондюэль красная в томатном соусе чили	5.8	2.8	19.0	124
Фасоль Бондюэль красная консервированная	Фасоль Бондюэль красная консервированная	6.7	0.3	17.4	99
Фасоль Бондюэль красная с кукурузой в мексиканском соусе	Фасоль Бондюэль красная с кукурузой в мексиканском соусе	4.6	3.1	18.3	120
Фасоль варёная	Фасоль варёная	7.8	0.5	21.5	123
Фасоль красная	Фасоль красная	21.0	1.6	52.7	310
Фасоль красная консервированная	Фасоль красная консервированная	6.7	0.3	17.4	99
Фасоль лимская	Фасоль лимская	6.8	0.9	15.3	113
Фасоль спаржевая	Фасоль спаржевая	2.8	0.4	8.4	47
Фасоль стручковая	Фасоль стручковая	2.0	0.2	3.6	24
Фасоль стручковая консервированная	Фасоль стручковая консервированная	1.2	0.1	2.4	16
Фасоль сухая	Фасоль сухая	21.1	1.2	41.4	265
Фасоль чёрная	Фасоль чёрная	8.9	0.5	23.7	132
Фенхель	Фенхель	1.2	0.2	7.3	31
Физалис	Физалис	1.0	1.0	3.9	32
Хикама	Хикама	0.7	0.1	8.8	38
Хрен	Хрен	3.2	0.4	10.5	56
Цуккини	Цуккини	1.5	0.2	3.0	16
Цуккини варёный	Цуккини варёный	0.8	0.1	2.5	13
Чайот (Мексиканский огурец)	Чайот (Мексиканский огурец)	0.8	0.1	2.8	19
Черемша	Черемша	2.4	0.1	6.5	35
Чеснок	Чеснок	6.5	0.5	29.9	143
Чеснок (стрелки маринованные)	Чеснок (стрелки маринованные)	1.0	0.0	3.5	24
Чеснок (стрелки)	Чеснок (стрелки)	1.3	0.1	3.4	24
Чеснок маринованный	Чеснок маринованный	1.8	0.1	9.1	42
Чеснок молодой зелёный	Чеснок молодой зелёный	6.0	0.0	5.0	40
Чеснок молодой маринованный	Чеснок молодой маринованный	1.8	0.0	9.0	42
Чеснок тертый Фермерский	Чеснок тертый Фермерский	5.9	0.5	27.2	137
Чеснок чёрный	Чеснок чёрный	6.5	0.5	29.9	149
Чечевица (ростки)	Чечевица (ростки)	9.0	0.6	22.1	119
Чечевица Бондюэль консервированная	Чечевица Бондюэль консервированная	8.6	0.6	17.5	110
Чечевица варёная	Чечевица варёная	7.8	0.0	20.1	112
Чечевица красная	Чечевица красная	21.6	1.1	48.0	314
Чечевица сушёная	Чечевица сушёная	24.0	1.5	42.7	284
Шнитт-лук	Шнитт-лук	3.3	0.7	1.9	30
Шпинат	Шпинат	2.9	0.3	2.0	22
Шпинат 4 сезона листья порционные	Шпинат 4 сезона листья порционные	3.0	0.2	5.4	22
Шпинат Hortex размельченный	Шпинат Hortex размельченный	2.3	0.4	0.4	19
Шпинат Бондюэль в листьях	Шпинат Бондюэль в листьях	3.6	0.5	2.7	30
Шпинат Бондюэль в листьях консервированный	Шпинат Бондюэль в листьях консервированный	2.8	0.4	1.8	22
Шпинат Бондюэль в листьях порционный	Шпинат Бондюэль в листьях порционный	3.7	0.5	2.0	27
Шпинат Бондюэль рубленый в галетах	Шпинат Бондюэль рубленый в галетах	2.8	0.7	2.5	27
Шпинат замороженный	Шпинат замороженный	2.6	0.8	7.2	24
Щавель	Щавель	1.5	0.3	2.9	19
Эдамам	Эдамам	13.0	6.2	11.1	147
Эндивий	Эндивий	1.3	0.2	0.3	17
Якон	Якон	2.1	0.1	12.8	61
Ямс	Ямс	1.5	0.2	23.8	118
