Ангурия (Антильский огурец)	1.8	1.3	7.6	44
Капуста романеско Бондюэль	Капуста романеско Бондюэль	2.9	0.5	2.2	25
Капуста савойская	Капуста савойская	1.2	0.1	6.0	28
Капуста цветная	Капуста цветная	2.5	0.3	5.4	30
Капуста цветная 4 сезона	Капуста цветная 4 сезона	2.5	0.3	4.6	31
Капуста цветная Hortex	Капуста цветная Hortex	2.2	0.2	2.3	24
Капуста цветная Бондюэль замороженная	Капуста цветная Бондюэль замороженная	1.6	0.2	3.9	14
Капуста цветная варёная	Капуста цветная варёная	1.8	0.3	4.0	29
Капуста цветная жареная	Капуста цветная жареная	3.0	10.0	5.7	120
Капуста цветная консервированная	Капуста цветная консервированная	2.5	0.3	4.2	28
Картофель	Картофель	2.0	0.4	16.1	76
Картофель 4 сезона по-деревенски	Картофель 4 сезона по-деревенски	2.5	4.0	23.5	130
Картофель 4 сезона фри	Картофель 4 сезона фри	2.1	3.3	11.0	105
Картофель варёный	Картофель варёный	2.0	0.4	16.7	82
Картофель жареный	Картофель жареный	2.8	9.5	23.4	192
Картофель молодой	Картофель молодой	2.4	0.4	12.4	61
Картофель сладкий (батат)	Картофель сладкий (батат)	2.0	0.0	14.6	61
Картофель сушеный	Картофель сушеный	6.6	0.3	71.6	298
Картофель фиолетовый	Картофель фиолетовый	2.0	0.4	16.0	72
Картофельное пюре	Картофельное пюре	2.5	4.2	14.7	106
Картофельное пюре быстрого приготовления сухое	Картофельное пюре быстрого приготовления сухое	10.5	3.8	75.3	337
Картофельные хлопья	Картофельные хлопья	7.0	1.1	83.0	369
Кинза	Кинза	2.1	0.5	1.9	23
Кипрей (Иван-чай) сушеный	Кипрей (Иван-чай) сушеный	4.6	1.8	31.6	150
Клекачка колхидская (Джонджоли)	Клекачка колхидская (Джонджоли)	2.4	0.9	1.7	23
Козлобородник	Козлобородник	3.3	0.2	15.3	82
Колоказия съедобная	Колоказия съедобная	1.5	0.2	26.5	112
Крапива	Крапива	2.6	0.3	5.2	33
Кресс-салат	Кресс-салат	2.3	0.1	1.3	11
Кукуруза 4 сезона сладкая в зёрнах	Кукуруза 4 сезона сладкая в зёрнах	11.4	4.2	38.6	238
Кукуруза 6 соток сладкая	Кукуруза 6 соток сладкая	2.2	0.0	11.2	58
Кукуруза Globus сахарная в зернах	Кукуруза Globus сахарная в зернах	2.9	0.6	9.9	58
Кукуруза Green Ray деликатесная сладкая	Кукуруза Green Ray деликатесная сладкая	2.2	0.0	11.2	58
Кукуруза Hortex	Кукуруза Hortex	3.6	1.4	19.3	111
Кукуруза Бондюэль золотистая	Кукуруза Бондюэль золотистая	3.2	1.0	18.6	96
Кукуруза Бондюэль Молодая сладкая	Кукуруза Бондюэль Молодая сладкая	2.9	1.9	10.8	80
Кукуруза Бондюэль сладкая в зёрнах	Кукуруза Бондюэль сладкая в зёрнах	3.3	2.3	14.7	93
Кукуруза Бондюэль сладкая в зернах в вакуумной упаковке	Кукуруза Бондюэль сладкая в зернах в вакуумной упаковке	3.9	1.3	22.0	115
Кукуруза варёная	Кукуруза варёная	4.1	2.3	22.5	123
Кукуруза мини	Кукуруза мини	3.1	1.6	21.8	114
Кукуруза сладкая в початках	Кукуруза сладкая в початках	3.5	2.8	15.6	101
Кукуруза сладкая консервированная	Кукуруза сладкая консервированная	2.2	0.0	11.2	58
Купырь (кервель)	Купырь (кервель)	3.2	0.3	7.3	45
Лаванда	Лаванда	4.0	0.7	0.2	23
Лагенария	Лагенария	0.6	0.0	3.4	15
Лебеда садовая сушеная	Лебеда садовая сушеная	14.1	6.1	64.2	368
Лечо Бондюэль в томатном соусе замороженное	Лечо Бондюэль в томатном соусе замороженное	1.3	0.9	5.4	35
Лечо Бондюэль консервированное	Лечо Бондюэль консервированное	1.5	0.3	17.0	65
Листья алоэ	Листья алоэ	0.0	0.0	5.0	20
Листья амаранта	Листья амаранта	2.5	0.3	4.0	23
Листья винограда	Листья винограда	5.6	2.1	6.3	93
Листья винограда консервированные	Листья винограда консервированные	4.3	2.0	11.7	69
Листья вишни	Листья вишни	0.0	0.0	0.1	1
Листья карри	Листья карри	16.8	8.3	17.5	203
Листья смородины	Листья смородины	0.1	0.0	0.1	1
Листья хрена	Листья хрена	9.4	1.4	6.2	64
Лоби 4 сезона зелёный нарезанный	Лоби 4 сезона зелёный нарезанный	3.1	0.3	3.1	28
Лопух (репейник) корень	Лопух (репейник) корень	1.5	0.1	14.0	72
Лопух (репейник) листья	Лопух (репейник) листья	1.8	0.2	3.7	19
Лук белый	Лук белый	1.4	0.2	9.0	42
Лук душистый джусай	Лук душистый джусай	1.4	0.2	8.2	41
Лук зелёный	Лук зелёный	1.3	0.0	4.6	19
Лук красный	Лук красный	1.4	0.0	9.1	42
Лук красный маринованный	Лук красный маринованный	0.9	0.1	2.8	19
Лук маринованный	Лук маринованный	0.9	0.1	2.8	19
Лук порей	Лук порей	2.0	0.0	8.2	33
Лук репчатый	Лук репчатый	1.4	0.0	10.4	47
Лук репчатый 4 сезона нарезанный	Лук репчатый 4 сезона нарезанный	1.2	0.2	8.6	38
Лук репчатый пассерованный	Лук репчатый пассерованный	1.2	17.0	8.6	193
Лук репчатый сушеный	Лук репчатый сушеный	8.4	2.8	42.6	219
Лук-чеснок рокамболь	Лук-чеснок рокамболь	6.4	0.5	31.0	149
Лук-шалот	Лук-шалот	2.5	0.1	16.8	72
Любисток	Любисток	3.7	0.4	7.6	20
Люффа	Люффа	1.2	0.2	4.4	20
Люцерна	Люцерна	0.2	0.7	4.0	23
Мангольд	Мангольд	1.8	0.2	3.7	19
Маслины	2.2	10.5	5.1	166
Маслины Бондюэль с косточкой / без косточки	Маслины Бондюэль с косточкой / без косточки	0.8	10.7	6.3	115
Мать-и-мачеха	Мать-и-мачеха	0.0	0.0	0.0	1
Маш-салат	Маш-салат	1.1	0.0	3.5	23
Мелисса лекарственная	Мелисса лекарственная	3.7	0.4	8.0	49
Мелотрия (Африканский огурец)	Мелотрия (Африканский огурец)	0.8	0.1	2.5	14
Микрозелень	Микрозелень	2.6	0.1	5.0	31
Микрозелень гороха Botanica Farm	Микрозелень гороха Botanica Farm	3.0	0.6	1.4	23
Микрозелень подсолнечника Botanica Farm	Микрозелень подсолнечника Botanica Farm	3.0	0.6	1.4	23
Микрозелень редиса Botanica Farm	Микрозелень редиса Botanica Farm	3.0	0.6	1.4	23
Микс семян для прорастания	Микс семян для прорастания	15.6	3.4	15.6	156
Мирпуа	Мирпуа	1.8	0.0	7.8	38
Момордика (Индийский огурец)	Момордика (Индийский огурец)	0.8	0.1	3.0	15
Морковная ботва	Морковная ботва	0.6	0.1	5.3	35
Морковные палочки	Морковные палочки	1.0	0.0	6.0	29
Морковный жмых	Морковный жмых	0.6	0.1	4.5	20
Морковь	Морковь	1.3	0.1	6.9	32
Морковь Бондюэль молодая целая	Морковь Бондюэль молодая целая	0.8	0.5	5.0	27
Морковь Бондюэль молодая Экстра	Морковь Бондюэль молодая Экстра	0.5	0.7	4.2	25
Морковь варёная	Морковь варёная	0.8	0.3	5.0	25
Морковь жёлтая	Морковь жёлтая	1.3	0.1	7.2	33
Морковь квашеная	Морковь квашеная	1.3	0.1	4.5	26
Морковь консервированная	Морковь консервированная	0.6	0.1	3.6	23
Морковь пассерованная	Морковь пассерованная	0.9	10.2	8.5	127
Морковь сушеная	Морковь сушеная	7.8	0.6	49.2	221
Морковь фиолетовая	Морковь фиолетовая	1.3	0.1	6.9	35
Нут	Нут	19.0	6.0	61.0	364
Нут Fresh Food отварной	Нут Fresh Food отварной	9.0	0.0	19.0	140
Нут Бондюэль На пару	Нут Бондюэль На пару	6.4	2.2	14.7	120
Нут вареный	Нут вареный	8.3	1.9	19.3	127
Нут консервированный	Нут консервированный	7.2	3.4	19.5	125
Овощи	Овощи	2.5	0.1	5.0	31
Овощи Бондюэль для супа из шампиньонов	Овощи Бондюэль для супа из шампиньонов	0.3	0.3	6.0	22
Овощи весенние Краски лета	Овощи весенние Краски лета	3.2	0.0	8.0	45
Овощи для жарки Hortex	Овощи для жарки Hortex	2.1	1.7	8.5	63
Овощи для жарки Hortex с приправой по-восточному	Овощи для жарки Hortex с приправой по-восточному	2.2	0.3	4.5	37
Овощи для жарки Hortex с приправой по-итальянски	Овощи для жарки Hortex с приправой по-итальянски	2.4	0.5	6.7	47
Овощи для жарки Hortex с пряными травами и перцем	Овощи для жарки Hortex с пряными травами и перцем	2.1	1.5	11.1	71
Овощи для жарки Hortex с рисом и шампиньонами	Овощи для жарки Hortex с рисом и шампиньонами	2.8	0.4	10.0	60
Овощи для жарки Hortex с укропом	Овощи для жарки Hortex с укропом	2.2	1.5	8.4	61
Овощи для жарки Краски лета	Овощи для жарки Краски лета	2.4	0.0	10.8	53
Овощная смесь 4 сезона Весенние овощи	Овощная смесь 4 сезона Весенние овощи	2.9	0.3	10.0	54
Овощная смесь 4 сезона Восточная	Овощная смесь 4 сезона Восточная	2.7	0.4	7.5	44
Овощная смесь 4 сезона Гавайская	Овощная смесь 4 сезона Гавайская	3.7	1.2	24.8	125
Овощная смесь 4 сезона Грибное жаркое с гречкой	Овощная смесь 4 сезона Грибное жаркое с гречкой	4.3	0.9	15.9	85
Овощная смесь 4 сезона Грибы с картошкой	Овощная смесь 4 сезона Грибы с картошкой	2.0	0.5	7.4	40
Овощная смесь 4 сезона Гювеч	Овощная смесь 4 сезона Гювеч	1.4	0.1	5.2	51
Овощная смесь 4 сезона Итальянская	Овощная смесь 4 сезона Итальянская	5.4	0.9	22.0	114
Овощная смесь 4 сезона Калифорния	Овощная смесь 4 сезона Калифорния	7.6	1.6	42.6	154
Овощная смесь 4 сезона Китайская	Овощная смесь 4 сезона Китайская	2.3	1.2	3.9	34
Овощная смесь 4 сезона Летние овощи	Овощная смесь 4 сезона Летние овощи	3.5	0.3	7.5	47
Овощная смесь 4 сезона Лечо	Овощная смесь 4 сезона Лечо	1.2	0.1	5.3	27
Овощная смесь 4 сезона Мексиканская	Овощная смесь 4 сезона Мексиканская	3.4	0.9	16.4	87
Овощная смесь 4 сезона Мусака	Овощная смесь 4 сезона Мусака	1.5	0.2	8.1	40
Овощная смесь 4 сезона Овощи для жарки с шампиньонами	Овощная смесь 4 сезона Овощи для жарки с шампиньонами	4.9	1.2	2.1	39
Овощная смесь 4 сезона Овощи по-деревенски	Овощная смесь 4 сезона Овощи по-деревенски	5.4	1.7	26.1	141
Овощная смесь 4 сезона Овощи с гречкой	Овощная смесь 4 сезона Овощи с гречкой	3.5	0.8	16.8	84
Овощная смесь 4 сезона Овощное рагу	Овощная смесь 4 сезона Овощное рагу	0.5	0.1	3.8	38
Овощная смесь 4 сезона Паприкаш	Овощная смесь 4 сезона Паприкаш	3.5	0.1	8.9	51
Овощная смесь 4 сезона Паста с лесными грибами	Овощная смесь 4 сезона Паста с лесными грибами	0.1	0.9	16.0	84
Овощная смесь 4 сезона Сибирская	Овощная смесь 4 сезона Сибирская	2.6	0.5	10.7	58
Овощная смесь 4 сезона Скандинавская	Овощная смесь 4 сезона Скандинавская	2.8	0.3	5.9	38
Овощная смесь 4 сезона Столичный салат	Овощная смесь 4 сезона Столичный салат	1.8	0.2	12.1	57
Овощная смесь Hortex mexico	Овощная смесь Hortex mexico	3.6	0.4	7.5	56
Овощная смесь Hortex stir-fry vegetables	Овощная смесь Hortex stir-fry vegetables	2.2	2.1	13.1	85
Овощная смесь Hortex vip	Овощная смесь Hortex vip	1.9	0.4	5.4	39
Овощная смесь Hortex брокколи	Овощная смесь Hortex брокколи	1.9	0.3	3.1	28
Овощная смесь Hortex брокколи и цветная	Овощная смесь Hortex брокколи и цветная	2.5	0.3	2.4	27
Овощная смесь Hortex весенние овощи	Овощная смесь Hortex весенние овощи	2.8	0.3	3.9	37
Овощная смесь Hortex восточное блюдо	Овощная смесь Hortex восточное блюдо	1.6	0.2	3.2	27
Овощная смесь Hortex гавайская	Овощная смесь Hortex гавайская	3.7	0.6	18.5	100
Овощная смесь Hortex картофель по-деревенски	Овощная смесь Hortex картофель по-деревенски	1.3	0.3	5.5	34
Овощная смесь Hortex кус-кус	Овощная смесь Hortex кус-кус	2.1	0.2	4.6	34
Овощная смесь Hortex летние овощи	Овощная смесь Hortex летние овощи	2.6	0.2	4.2	36
Овощная смесь Hortex лечо	Овощная смесь Hortex лечо	1.1	0.3	3.0	22
Овощная смесь Hortex овощи по-деревенски	Овощная смесь Hortex овощи по-деревенски	1.8	0.3	7.3	44
Овощная смесь Hortex овощи по-домашнему	Овощная смесь Hortex овощи по-домашнему	1.3	0.3	3.9	28
Овощная смесь Hortex паприкаш	Овощная смесь Hortex паприкаш	1.3	0.2	2.9	22
Овощная смесь Hortex рагу	Овощная смесь Hortex рагу	1.3	0.2	2.3	19
Овощная смесь Hortex рататуй	Овощная смесь Hortex рататуй	1.1	0.2	2.6	19
Овощная смесь Vитамин Мексиканская	2.5	0.5	11.0	50
Овощная смесь Vитамин Овощи-гриль с итальянскими травами	Овощная смесь Vитамин Овощи-гриль с итальянскими травами	1.5	1.4	9.0	55
Овощная смесь Vитамин Сотэ с прованскими травами	Овощная смесь Vитамин Сотэ с прованскими травами	1.7	0.2	5.6	29
Овощная смесь Алтайская кладовая с грибами	Овощная смесь Алтайская кладовая с грибами	4.0	0.3	4.0	50
Овощная смесь Бондюэль Весенняя	Овощная смесь Бондюэль Весенняя	2.6	0.5	4.5	35
Овощная смесь Бондюэль для жарки ВОК по-азиатски	Овощная смесь Бондюэль для жарки ВОК по-азиатски	2.8	0.2	4.5	30
Овощная смесь Бондюэль для жарки Гавайская	Овощная смесь Бондюэль для жарки Гавайская	3.0	0.5	22.7	91
