Коктейль молочный Милкшейк Шоколадно-Ореховый KFC 400 мл	Коктейль молочный Милкшейк Шоколадно-Ореховый KFC 400 мл	3.4	3.5	27.2	154
Курица 1 крыло KFC	Курица 1 крыло KFC	16.6	20.7	15.4	314
Курица 1 ножка KFC	Курица 1 ножка KFC	21.4	12.6	10.1	239
Курица 1 стрипс оригинальный	Курица 1 стрипс оригинальный	24.5	15.2	13.7	290
Курица 1 стрипс острый	Курица 1 стрипс острый	22.3	10.3	15.8	245
Курица Байтсы Острые	Курица Байтсы Острые	23.5	11.9	16.6	268
Курица Байтсы Терияки	Курица Байтсы Терияки	15.1	8.9	26.0	244
Напиток Кофе Капучино KFC 300 мл	Напиток Кофе Капучино KFC 300 мл	1.8	1.1	10.6	60
Салат Цезарь лайт KFC (без заправки)	Салат Цезарь лайт KFC (без заправки)	10.6	7.3	7.3	137
Сэндвич Ай-Твистер Чиз	Сэндвич Ай-Твистер Чиз	9.7	13.7	23.3	256
Сэндвич Биггер	Сэндвич Биггер	12.3	11.4	22.7	242
Сэндвич Боксмастер Жюльен	Сэндвич Боксмастер Жюльен	7.8	15.6	20.1	252
Сэндвич Боксмастер из тостера	Сэндвич Боксмастер из тостера	8.1	15.6	20.1	252
Сэндвич Зингер	Сэндвич Зингер	11.6	10.7	22.2	231
Сэндвич Классик	Сэндвич Классик	10.9	8.8	24.3	220
Сэндвич Лонгер Жюльен	Сэндвич Лонгер Жюльен	13.4	15.0	26.3	297
Сэндвич Лонгер Кентукки BBQ	Сэндвич Лонгер Кентукки BBQ	11.6	8.0	28.8	234
Сэндвич Сандерс	Сэндвич Сандерс	10.5	6.1	28.8	212
Сэндвич Твистер Веджи	Сэндвич Твистер Веджи	4.6	18.0	22.2	269
Сэндвич Твистер Жюльен	Сэндвич Твистер Жюльен	11.1	13.9	23.6	264
Сэндвич Твистер из тостера	Сэндвич Твистер из тостера	10.0	10.0	22.5	220
Сэндвич Чизбургер Жюльен	Сэндвич Чизбургер Жюльен	11.0	10.5	25.9	242
Большой завтрак McDonalds	30.0	30.0	62.0	640
Большой завтрак McDonalds с джемом	Большой завтрак McDonalds с джемом	30.0	35.0	58.0	675
Большой завтрак McDonalds с мёдом	Большой завтрак McDonalds с мёдом	30.0	35.0	60.0	685
Десерт Вафельный рожок McDonalds	Десерт Вафельный рожок McDonalds	3.0	4.0	22.0	135
Десерт Вишнёвый пирожок McDonalds	Десерт Вишнёвый пирожок McDonalds	2.0	12.0	29.0	230
Десерт Макфлурри Де Люкс карамельно-шоколадный	Десерт Макфлурри Де Люкс карамельно-шоколадный	7.0	10.0	71.0	400
Десерт Макфлурри Де Люкс клубнично-шоколадный	Десерт Макфлурри Де Люкс клубнично-шоколадный	6.0	8.0	61.0	340
Десерт Макфлурри с рисовыми шариками	Десерт Макфлурри с рисовыми шариками	6.0	8.0	61.0	340
Макфлурри с шоколадно-вафельной крошкой	Десерт Макфлурри с шоколадно-вафельной крошкой	6.0	8.0	40.0	280
Десерт Маффин с чёрной смородиной	Десерт Маффин с чёрной смородиной	5.0	18.0	47.0	370
