Амарант	13.6	7.0	69.0	371
Хлопья Nestle Fitness с фруктами	Хлопья Nestle Fitness с фруктами	6.4	2.6	75.7	352
Хлопья Агро-Альянс 4 злака	Хлопья Агро-Альянс 4 злака	12.0	3.0	73.0	390
Хлопья Агро-Альянс 5 злаков	Хлопья Агро-Альянс 5 злаков	12.0	3.0	70.0	370
Хлопья Алтайская Сказка 9 злаков	Хлопья Алтайская Сказка 9 злаков	11.3	2.8	65.8	334
Хлопья красной чечевицы Myllyn Paras	Хлопья красной чечевицы Myllyn Paras	25.0	0.0	52.0	320
Хлопья Мистраль смесь 5 злаков	Хлопья Мистраль смесь 5 злаков	10.1	3.8	76.3	365
Хлопья Пассим Три злака	Хлопья Пассим Три злака	10.0	3.6	63.0	334
Хлопья Пассим Четыре злака	Хлопья Пассим Четыре злака	10.3	3.2	61.0	322
Хлопья Увелка 5 злаков Доброе утро	Хлопья Увелка 5 злаков Доброе утро	14.0	3.5	68.0	370
Хлопья Увелка 5-ти зерновые тонкие	Хлопья Увелка 5-ти зерновые тонкие	11.0	2.0	75.0	360
Хлопья Царь 4 злака	Хлопья Царь 4 злака	11.0	2.5	66.0	330
Хлопья Царь 5 злаков	Хлопья Царь 5 злаков	10.2	1.5	73.2	308
Хлопья Царь 5 злаков с ягодами	Хлопья Царь 5 злаков с ягодами	8.5	1.5	62.0	300
Хлопья Царь 7 злаков	Хлопья Царь 7 злаков	10.0	2.5	64.0	340
Хлопья Ясно солнышко 7 злаков	Хлопья Ясно солнышко 7 злаков	11.0	3.0	64.0	340
Чечевица Агро-Альянс красная	Чечевица Агро-Альянс красная	26.0	2.0	57.0	350
Чечевица Агро-Альянс Элитная	Чечевица Агро-Альянс Элитная	28.0	2.0	58.0	360
Чечевица Мистраль Канадская зелёная крупная	Чечевица Мистраль Канадская зелёная крупная	19.4	1.1	66.6	328
Чечевица Мистраль Персидская красная колотая	Чечевица Мистраль Персидская красная колотая	25.0	1.1	53.0	322
Чечевица Мистраль Турецкая жёлтая колотая	Чечевица Мистраль Турецкая жёлтая колотая	22.3	0.1	65.5	332
Чечевица Фермер зелёная	Чечевица Фермер зелёная	24.0	1.1	53.7	284
Ячменная каша	Ячменная каша	11.5	2.0	65.8	310
Ячменная крупа	Ячменная крупа	10.0	1.3	71.7	324
Ячменные хлопья	Ячменные хлопья	9.8	3.6	79.4	355
Ячменные хлопья Myllyn Paras	11.0	2.0	63.0	320
Ячневая каша на воде	Ячневая каша на воде	2.3	0.3	15.7	76
Ячневая каша на молоке	Ячневая каша на молоке	3.6	2.0	19.8	111
Ячневая крупа	Ячневая крупа	10.4	1.3	66.3	324
Ячневая крупа Makfa в пакетиках	Ячневая крупа Makfa в пакетиках	10.0	1.3	65.4	313
