Амарант	13.6	7.0	69.0	371
Манная крупа Агро-Альянс	Манная крупа Агро-Альянс	10.0	1.0	69.0	330
Манная крупа Мистраль Семолина	Манная крупа Мистраль Семолина	14.1	1.6	69.7	348
Манная крупа с отрубями БИО Черный хлеб	Манная крупа с отрубями БИО Черный хлеб	13.1	4.6	61.5	340
Мюсли AXA хрустящие медовые с фруктами и орехами	Мюсли AXA хрустящие медовые с фруктами и орехами	7.8	13.1	56.7	376
Мюсли Horeca Select с фруктами и орехами	Мюсли Horeca Select с фруктами и орехами	11.4	7.8	56.7	363
Мюсли Matti Банан и Шоколад	Мюсли Matti Банан и Шоколад	7.0	13.0	62.0	390
Мюсли Matti Ежевика и Малина	Мюсли Matti Ежевика и Малина	7.5	13.0	62.0	390
Мюсли Matti Орех и Яблоко	Мюсли Matti Орех и Яблоко	7.0	13.0	59.0	380
Мюсли Vitalis фруктовые	7.8	4.6	61.1	317
Мюсли Vitalis шоколадные	Мюсли Vitalis шоколадные	10.0	13.0	62.0	400
Мюсли Бон	Мюсли Бон	8.8	5.1	62.6	333
Мюсли Ого! запеченные с бананом	Мюсли Ого! запеченные с бананом	9.0	18.0	60.0	460
Мюсли Эпоха злаков Фруктовый сад	Мюсли Эпоха злаков Фруктовый сад	9.3	4.4	63.0	328
Нут Агро-Альянс	Нут Агро-Альянс	20.0	5.0	66.0	390
Нут Мистраль	Нут Мистраль	18.2	9.4	62.6	385
Нут Ярмарка Платинум	Нут Ярмарка Платинум	20.1	4.3	55.1	320
Овсяная каша Myllyn Paras	Овсяная каша Myllyn Paras	14.0	7.5	56.0	350
Овсяная каша Myllyn Paras вкус сливок с клубникой	Овсяная каша Myllyn Paras вкус сливок с клубникой	10.2	16.6	53.9	406
Овсяная каша Myllyn Paras вкус сливок с малиной	Овсяная каша Myllyn Paras вкус сливок с малиной	10.3	14.9	54.7	394
Овсяная каша Myllyn Paras вкус сливок с черникой	Овсяная каша Myllyn Paras вкус сливок с черникой	10.7	15.0	58.0	410
Овсяная каша Myllyn Paras с дыней	Овсяная каша Myllyn Paras с дыней	10.8	5.8	62.8	347
Овсяная каша Myllyn Paras с дыней и сахаром	Овсяная каша Myllyn Paras с дыней и сахаром	11.5	7.7	61.9	362
Овсяная каша Myllyn Paras с клубникой без сахара	Овсяная каша Myllyn Paras с клубникой без сахара	11.9	7.9	56.3	353
Овсяная каша Myllyn Paras с клубникой и сахаром	Овсяная каша Myllyn Paras с клубникой и сахаром	11.9	7.9	60.8	362
Овсяная каша Myllyn Paras с клюквой без сахара	Овсяная каша Myllyn Paras с клюквой без сахара	11.9	7.9	56.3	353
Овсяная каша Myllyn Paras с лесными ягодами и сахаром	Овсяная каша Myllyn Paras с лесными ягодами и сахаром	11.6	7.7	61.8	363
Овсяная каша Myllyn Paras с малиной и сахаром	Овсяная каша Myllyn Paras с малиной и сахаром	11.9	7.9	60.8	362
Овсяная каша Myllyn Paras с отрубями, вишней и сливой	Овсяная каша Myllyn Paras с отрубями, вишней и сливой	15.5	7.2	50.6	333
Овсяная каша Myllyn Paras с отрубями, яблоком и чёрной смородиной	Овсяная каша Myllyn Paras с отрубями, яблоком и чёрной смородиной	15.2	7.0	51.1	333
Овсяная каша Myllyn Paras с персиком без сахара	Овсяная каша Myllyn Paras с персиком без сахара	11.9	7.9	56.3	353
Овсяная каша Myllyn Paras с персиком и сахаром	Овсяная каша Myllyn Paras с персиком и сахаром	11.6	7.6	60.7	357
Овсяная каша Myllyn Paras с тропическими фруктами	Овсяная каша Myllyn Paras с тропическими фруктами	11.1	5.8	62.8	348
Овсяная каша Myllyn Paras с черникой без сахара	Овсяная каша Myllyn Paras с черникой без сахара	11.9	7.9	56.3	353
Овсяная каша Myllyn Paras с черникой и сахаром	Овсяная каша Myllyn Paras с черникой и сахаром	11.6	7.7	61.7	362
Овсяная каша Myllyn Paras с шоколадом и апельсином	Овсяная каша Myllyn Paras с шоколадом и апельсином	10.5	8.0	62.2	363
Овсяная каша Myllyn Paras с яблоком и брусникой	Овсяная каша Myllyn Paras с яблоком и брусникой	10.4	5.5	63.8	346
Овсяная каша Myllyn Paras Тропик с сахаром	Овсяная каша Myllyn Paras Тропик с сахаром	11.7	7.8	61.8	364
Овсяная каша Мистраль Малиновый мильфей	Овсяная каша Мистраль Малиновый мильфей	8.8	3.1	65.2	347
Овсяная каша Мистраль Тирамису	Овсяная каша Мистраль Тирамису	9.3	6.5	65.7	355
