Ассорти мясное	11.3	23.5	0.9	264
Салат Вкус Италии готовый	Салат Вкус Италии готовый	11.8	11.0	1.5	153
Салат Воскресенский готовый	Салат Воскресенский готовый	1.1	10.1	4.6	114
Салат Восторг готовый	Салат Восторг готовый	4.6	17.2	8.3	205
Салат Грибной готовый	Салат Грибной готовый	3.2	13.9	4.4	156
Салат Дальневосточный готовый	Салат Дальневосточный готовый	0.6	3.1	7.3	59
Салат Дары Сибири готовый	Салат Дары Сибири готовый	1.3	3.6	5.7	59
Салат Дарьюшка из морской капусты готовый	Салат Дарьюшка из морской капусты готовый	5.5	20.0	8.0	320
Салат Жемчужина готовый	Салат Жемчужина готовый	2.9	7.1	7.0	103
Салат из корейской спаржи готовый	Салат из корейской спаржи готовый	8.2	8.8	12.8	124
Салат из морской капусты Диетический с крабовыми палочками	Салат из морской капусты Диетический с крабовыми палочками	6.0	3.0	2.0	84
Салат из морской капусты с зелёным горошком готовый	Салат из морской капусты с зелёным горошком готовый	4.0	5.4	0.0	59
Салат из морской капусты с луком и пряностями	Салат из морской капусты с луком и пряностями	0.0	18.3	0.3	176
Салат из морской капусты с майонезом и ткемалевым соусом готовый	Салат из морской капусты с майонезом и ткемалевым соусом готовый	4.0	5.4	0.0	59
Салат из цветной капусты готовый	Салат из цветной капусты готовый	2.0	2.5	4.5	47
Салат Испанский готовый	Салат Испанский готовый	12.3	24.5	1.9	288
Салат Итальянский с ветчиной готовый	Салат Итальянский с ветчиной готовый	9.5	14.6	31.7	288
Салат Кальмары готовый	Салат Кальмары готовый	7.6	15.4	18.7	240
Салат Кальмары фаршированные готовый	Салат Кальмары фаршированные готовый	10.2	16.2	11.8	234
Салат Камчатский готовый	Салат Камчатский готовый	8.1	1.7	6.1	73
Салат Катюша готовый	Салат Катюша готовый	1.6	7.0	5.5	90
Салат Крабовые палочки готовый	Салат Крабовые палочки готовый	6.6	14.8	13.7	217
Салат Крабовый готовый	Салат Крабовый готовый	9.2	7.4	5.9	128
Салат Красная шапочка готовый	Салат Красная шапочка готовый	7.7	25.6	5.8	288
Салат Курильский берег Дальневосточный из морской капусты	Салат Курильский берег Дальневосточный из морской капусты	1.0	10.0	7.0	122
Салат Курочка-ряба готовый	Салат Курочка-ряба готовый	11.4	22.4	3.9	261
Салат Лосось готовый	Салат Лосось готовый	8.3	14.2	17.7	275
Салат Маяк готовый	Салат Маяк готовый	9.6	24.0	2.6	262
Салат Мимоза готовый	Салат Мимоза готовый	5.7	14.8	7.2	183
Салат Мираж готовый	Салат Мираж готовый	15.0	8.8	3.3	152
Салат Монастырский готовый	Салат Монастырский готовый	1.5	18.1	7.4	198
Салат Морское ассорти готовый	Салат Морское ассорти готовый	1.4	4.3	7.3	71
Салат Морской дар готовый	Салат Морской дар готовый	7.4	20.2	2.6	239
Салат Московский готовый	Салат Московский готовый	5.3	20.2	6.1	227
Салат Мясной готовый	Салат Мясной готовый	8.8	16.7	5.0	214
Салат Находка готовый	Салат Находка готовый	3.4	21.0	4.6	223
Салат Оливье по-домашнему готовый	Салат Оливье по-домашнему готовый	5.1	16.5	3.9	187
Салат Оливье с ветчиной готовый	Салат Оливье с ветчиной готовый	5.4	16.7	7.0	198
Салат Оливье с колбасой готовый	Салат Оливье с колбасой готовый	5.4	16.7	7.0	198
Салат Оливье с мясом готовый	Салат Оливье с мясом готовый	5.4	16.7	7.0	198
